Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
004-F0_S5_L002_R2_001_val_2	15.5931265639	45.0	71.7663655628	15452585.0	16.6666666667
004-F0_S5_L003_R1_001_val_1	16.5292236262	45.0	71.8515370646	15734082.0	16.6666666667
004-F0_S5_L003_R2_001_val_2	15.8847576483	45.0	71.788351173	15734082.0	16.6666666667
004-F0_S5_L004_R1_001_val_1	16.5596197229	45.0	71.8694499793	15613050.0	16.6666666667
004-F0_S5_L004_R2_001_val_2	15.4336040436	45.0	71.7805968725	15613050.0	16.6666666667
004-F5_S4_L001_R1_001_val_1	18.1087394734	46.0	71.6112135096	15715294.0	16.6666666667
004-F5_S4_L001_R2_001_val_2	16.7520973921	46.0	71.548318727	15715294.0	16.6666666667
004-F5_S4_L002_R1_001_val_1	17.7079958096	46.0	71.6284213971	15475805.0	16.6666666667
004-F5_S4_L002_R2_001_val_2	16.5027544095	46.0	71.5585704265	15475805.0	16.6666666667
004-F5_S4_L003_R1_001_val_1	17.5710192546	46.0	71.6206021833	15791472.0	16.6666666667
004-F5_S4_L003_R2_001_val_2	16.62018746	46.0	71.5613995959	15791472.0	16.6666666667
004-F5_S4_L004_R1_001_val_1	17.6829303913	46.0	71.6443458787	15641219.0	16.6666666667
004-F5_S4_L004_R2_001_val_2	16.4575306335	46.0	71.5617470735	15641219.0	16.6666666667
004-primary_S1_L001_R1_001_val_1	26.069067579	46.0	71.589666247	27934943.0	16.6666666667
004-primary_S1_L001_R2_001_val_2	23.9747666855	46.0	71.5267347422	27934943.0	16.6666666667
004-primary_S1_L002_R1_001_val_1	25.0732470558	46.0	71.6119007855	27579020.0	16.6666666667
004-primary_S1_L002_R2_001_val_2	23.5701960588	46.0	71.5378837972	27579020.0	16.6666666667
004-primary_S1_L003_R1_001_val_1	24.9471953324	46.0	71.6079219529	28072472.0	16.6666666667
004-primary_S1_L003_R2_001_val_2	23.6427103448	46.0	71.5461481981	28072472.0	16.6666666667
004-primary_S1_L004_R1_001_val_1	24.814962907	46.0	71.6304756295	27861226.0	16.6666666667
004-primary_S1_L004_R2_001_val_2	23.292530856	46.0	71.5427846571	27861226.0	16.6666666667
005-F0_S3_L001_R1_001_val_1	22.7064685409	46.0	71.5179630518	21214324.0	16.6666666667
005-F0_S3_L001_R2_001_val_2	21.0317790412	46.0	71.4694459272	21214324.0	16.6666666667
005-F0_S3_L002_R1_001_val_1	21.8013001591	46.0	71.5377139543	20899731.0	16.6666666667
005-F0_S3_L002_R2_001_val_2	20.4651480501	46.0	71.4813249989	20899731.0	16.6666666667
005-F0_S3_L003_R1_001_val_1	21.7535155541	46.0	71.5380793805	21403959.0	16.6666666667
005-F0_S3_L003_R2_001_val_2	20.7923739	46.0	71.4914589399	21403959.0	16.6666666667
005-F0_S3_L004_R1_001_val_1	21.8599246841	46.0	71.5566009537	21157276.0	16.6666666667
005-F0_S3_L004_R2_001_val_2	20.7801406985	46.0	71.4877657218	21157276.0	16.6666666667
005-F5_S2_L001_R1_001_val_1	20.3561585344	46.0	71.9850832035	18093161.0	16.6666666667
005-F5_S2_L001_R2_001_val_2	18.8011385444	46.0	71.9347540211	18093161.0	16.6666666667
005-F5_S2_L002_R1_001_val_1	19.8143560711	46.0	71.999720517	17883019.0	16.6666666667
005-F5_S2_L002_R2_001_val_2	18.4753343577	46.0	71.9365651851	17883019.0	16.6666666667
005-F5_S2_L003_R1_001_val_1	19.7354083033	46.0	71.9903059947	18219301.0	16.6666666667
005-F5_S2_L003_R2_001_val_2	18.6467228539	46.0	71.9404939849	18219301.0	16.6666666667
005-F5_S2_L004_R1_001_val_1	19.7523067117	46.0	72.0072458204	18088221.0	16.6666666667
005-F5_S2_L004_R2_001_val_2	18.5544337099	46.0	71.9291830855	18088221.0	16.6666666667
005-primary_S6_L001_R1_001_val_1	26.4649378176	45.0	71.4677871054	30844822.0	16.6666666667
005-primary_S6_L001_R2_001_val_2	24.4187507096	45.0	71.4068311368	30844822.0	16.6666666667
005-primary_S6_L002_R1_001_val_1	25.4871444417	45.0	71.4860525009	30404483.0	16.6666666667
005-primary_S6_L002_R2_001_val_2	23.856630164	45.0	71.4149234506	30404483.0	16.6666666667
005-primary_S6_L003_R1_001_val_1	25.1247020427	45.0	71.4796490408	31079739.0	16.6666666667
005-primary_S6_L003_R2_001_val_2	24.0387714234	45.0	71.4209498349	31079739.0	16.6666666667
005-primary_S6_L004_R1_001_val_1	25.2971020632	45.0	71.4961429071	30777195.0	16.6666666667
005-primary_S6_L004_R2_001_val_2	23.9446853781	45.0	71.4114345378	30777195.0	16.6666666667
006-F0_S6_L001_R1_001_val_1	22.4980301325	46.0	73.0760048249	23258405.0	16.6666666667
006-F0_S6_L001_R2_001_val_2	20.6753987537	46.0	72.9825013366	23258405.0	16.6666666667
006-F0_S6_L002_R1_001_val_1	21.3549626331	46.0	73.0830673855	22242773.0	16.6666666667
006-F0_S6_L002_R2_001_val_2	20.171573751	46.0	72.9667351279	22242773.0	16.6666666667
006-F0_S6_L003_R1_001_val_1	21.5842768491	46.0	73.0677432089	23472434.0	16.6666666667
006-F0_S6_L003_R2_001_val_2	20.7469495157	46.0	72.9906011452	23472434.0	16.6666666667
006-F0_S6_L004_R1_001_val_1	21.281873588	46.0	73.0938465276	22088894.0	16.6666666667
006-F0_S6_L004_R2_001_val_2	20.1926953083	46.0	72.9884832622	22088894.0	16.6666666667
006-F5_S1_L001_R1_001_val_1	20.9272811287	46.0	73.808348023	21621191.0	16.6666666667
006-F5_S1_L001_R2_001_val_2	19.0712473909	46.0	73.7051538928	21621191.0	16.6666666667
006-F5_S1_L002_R1_001_val_1	19.8166485999	46.0	73.8138877961	20719587.0	16.6666666667
006-F5_S1_L002_R2_001_val_2	18.5430525519	46.0	73.6845527857	20719587.0	16.6666666667
006-F5_S1_L003_R1_001_val_1	20.1963812831	46.0	73.7998524616	21803136.0	16.6666666667
006-F5_S1_L003_R2_001_val_2	19.260657059	46.0	73.713413153	21803136.0	16.6666666667
006-F5_S1_L004_R1_001_val_1	19.5150574895	46.0	73.8193754029	20600129.0	16.6666666667
006-F5_S1_L004_R2_001_val_2	18.4005968613	46.0	73.7009129409	20600129.0	16.6666666667
008-F0_S1_L001_R1_001_val_1	26.713534291	45.0	72.8413454718	23086117.0	16.6666666667
008-F0_S1_L001_R2_001_val_2	24.2399477361	45.0	72.7645522198	23086117.0	25.0
008-F0_S1_L002_R1_001_val_1	25.8328043452	45.0	72.8380173872	22783470.0	16.6666666667
008-F0_S1_L002_R2_001_val_2	24.3655514335	45.0	72.7359437346	22783470.0	16.6666666667
008-F0_S1_L003_R1_001_val_1	25.8417337713	45.0	72.8307722056	22599940.0	25.0
008-F0_S1_L003_R2_001_val_2	24.8121863128	45.0	72.7504834969	22599940.0	25.0
008-F0_S1_L004_R1_001_val_1	26.3157106487	45.0	72.8422790565	23267804.0	16.6666666667
008-F0_S1_L004_R2_001_val_2	25.1588198559	45.0	72.7452230559	23267804.0	16.6666666667
008-F5_S2_L001_R1_001_val_1	22.5489328363	46.0	72.8737287959	12896828.0	25.0
008-F5_S2_L001_R2_001_val_2	20.5992591616	46.0	72.807778936	12896828.0	25.0
008-F5_S2_L002_R1_001_val_1	21.7837852873	46.0	72.8737911557	12739337.0	16.6666666667
008-F5_S2_L002_R2_001_val_2	20.6107820178	46.0	72.7858678988	12739337.0	16.6666666667
008-F5_S2_L003_R1_001_val_1	21.8001795245	46.0	72.8728332737	12663344.0	25.0
008-F5_S2_L003_R2_001_val_2	20.971115302	46.0	72.8051429385	12663344.0	25.0
008-F5_S2_L004_R1_001_val_1	22.094550527	46.0	72.879888977	12999831.0	16.6666666667
008-F5_S2_L004_R2_001_val_2	21.2174122796	46.0	72.7961894274	12999831.0	16.6666666667
018-F0_S3_L001_R1_001_val_1	26.2028897527	45.0	72.8005281498	18700754.0	16.6666666667
018-F0_S3_L001_R2_001_val_2	23.888684534	45.0	72.7296548578	18700754.0	25.0
018-F0_S3_L002_R1_001_val_1	25.5250521359	45.0	72.7973223541	18457556.0	16.6666666667
018-F0_S3_L002_R2_001_val_2	24.3319500962	45.0	72.7040200772	18457556.0	16.6666666667
018-F0_S3_L003_R1_001_val_1	25.6491112326	45.0	72.7935650042	18331698.0	25.0
018-F0_S3_L003_R2_001_val_2	24.7270195518	45.0	72.7183086913	18331698.0	25.0
018-F0_S3_L004_R1_001_val_1	25.8628577207	45.0	72.8025170439	18844963.0	16.6666666667
018-F0_S3_L004_R2_001_val_2	25.1190329929	45.0	72.7146072932	18844963.0	16.6666666667
018-F5_S4_L001_R1_001_val_1	23.6306727307	46.0	72.7929682133	16428371.0	16.6666666667
018-F5_S4_L001_R2_001_val_2	21.5150485524	46.0	72.7388296746	16428371.0	25.0
018-F5_S4_L002_R1_001_val_1	23.00772298	46.0	72.7906030472	16269955.0	16.6666666667
018-F5_S4_L002_R2_001_val_2	21.9560967468	46.0	72.7148855667	16269955.0	16.6666666667
018-F5_S4_L003_R1_001_val_1	22.9894082497	46.0	72.7878376986	16162895.0	25.0
018-F5_S4_L003_R2_001_val_2	22.316129158	46.0	72.7320788757	16162895.0	25.0
018-F5_S4_L004_R1_001_val_1	23.5430247686	46.0	72.7946334216	16597540.0	16.6666666667
018-F5_S4_L004_R2_001_val_2	22.4517048996	46.0	72.722963885	16597540.0	16.6666666667
019-F0_S5_L001_R1_001_val_1	20.6570016151	45.0	72.5140112711	14360296.0	25.0
019-F0_S5_L001_R2_001_val_2	19.0528654787	45.0	72.4605714255	14360296.0	25.0
019-F0_S5_L002_R1_001_val_1	20.1892290501	45.0	72.5097565578	14180616.0	16.6666666667
019-F0_S5_L002_R2_001_val_2	19.1513596935	45.0	72.4372690157	14180616.0	16.6666666667
019-F0_S5_L003_R1_001_val_1	20.2526104749	45.0	72.5062718103	14129493.0	25.0
019-F0_S5_L003_R2_001_val_2	19.5980991213	45.0	72.4490112986	14129493.0	25.0
019-F0_S5_L004_R1_001_val_1	20.4823313299	45.0	72.5155026808	14476464.0	16.6666666667
019-F0_S5_L004_R2_001_val_2	19.6388543166	45.0	72.4482658196	14476464.0	16.6666666667
019-F5_S6_L001_R1_001_val_1	27.1185440371	45.0	72.5567474204	21376584.0	16.6666666667
019-F5_S6_L001_R2_001_val_2	24.601974184	45.0	72.4883830831	21376584.0	25.0
019-F5_S6_L002_R1_001_val_1	26.003984948	45.0	72.5519293815	21132834.0	16.6666666667
019-F5_S6_L002_R2_001_val_2	24.5855280602	45.0	72.4601919459	21132834.0	16.6666666667
019-F5_S6_L003_R1_001_val_1	26.0373995268	45.0	72.5454721996	20989187.0	25.0
019-F5_S6_L003_R2_001_val_2	25.3632347761	45.0	72.4752578554	20989187.0	25.0
019-F5_S6_L004_R1_001_val_1	26.2750613809	45.0	72.5553145352	21556504.0	16.6666666667
019-F5_S6_L004_R2_001_val_2	25.3138458815	45.0	72.4691753357	21556504.0	16.6666666667
029-F0_S5_L001_R1_001_val_1	20.3546312087	45.0	73.0083419843	21403181.0	16.6666666667
029-F0_S5_L001_R2_001_val_2	18.9830646667	45.0	72.9287827823	21403181.0	16.6666666667
029-F0_S5_L002_R1_001_val_1	19.5101434695	45.0	73.0136726465	20454416.0	16.6666666667
029-F0_S5_L002_R2_001_val_2	18.4173286168	45.0	72.9157676269	20454416.0	16.6666666667
029-F0_S5_L003_R1_001_val_1	19.9118506852	45.0	73.0033465193	21635315.0	16.6666666667
029-F0_S5_L003_R2_001_val_2	19.0087647229	45.0	72.9389294309	21635315.0	16.6666666667
029-F0_S5_L004_R1_001_val_1	19.3463533381	45.0	73.0236715716	20282726.0	16.6666666667
029-F0_S5_L004_R2_001_val_2	18.3833841042	45.0	72.9345714181	20282726.0	16.6666666667
029-F5_S4_L001_R1_001_val_1	25.3724631041	46.0	73.2875133667	25421392.0	16.6666666667
029-F5_S4_L001_R2_001_val_2	23.4545885348	46.0	73.1897966091	25421392.0	16.6666666667
029-F5_S4_L002_R1_001_val_1	24.0749852719	46.0	73.2967161946	24348489.0	16.6666666667
029-F5_S4_L002_R2_001_val_2	22.7318591291	46.0	73.1739385553	24348489.0	16.6666666667
029-F5_S4_L003_R1_001_val_1	24.2463962246	46.0	73.2819079493	25669865.0	16.6666666667
029-F5_S4_L003_R2_001_val_2	23.5478109135	46.0	73.2036217565	25669865.0	16.6666666667
029-F5_S4_L004_R1_001_val_1	23.9045199603	46.0	73.3085035354	24185376.0	16.6666666667
029-F5_S4_L004_R2_001_val_2	22.7670313125	46.0	73.1954075885	24185376.0	16.6666666667
030-F0_S1_L001_R1_001_val_1	17.8164798559	44.0	73.3847789889	17785875.0	25.0
030-F0_S1_L001_R2_001_val_2	16.8215026224	44.0	73.3264010908	17785875.0	25.0
030-F0_S1_L002_R1_001_val_1	17.492130463	44.0	73.4035909455	17258296.0	25.0
030-F0_S1_L002_R2_001_val_2	16.6257937404	44.0	73.3299529687	17258296.0	25.0
030-F0_S1_L003_R1_001_val_1	17.3332359505	44.0	73.3972330863	17752776.0	25.0
030-F0_S1_L003_R2_001_val_2	16.8917483169	44.0	73.3386019178	17752776.0	25.0
030-F0_S1_L004_R1_001_val_1	17.4409483701	44.0	73.4178166209	17517508.0	25.0
030-F0_S1_L004_R2_001_val_2	16.643600815	44.0	73.3352547634	17517508.0	25.0
030-F5_S6_L001_R1_001_val_1	15.94833287	43.0	73.2241680525	10024341.0	25.0
030-F5_S6_L001_R2_001_val_2	15.2431952949	43.0	73.1594509804	10024341.0	25.0
030-F5_S6_L002_R1_001_val_1	15.5551228842	43.0	73.2489050725	9718452.0	25.0
030-F5_S6_L002_R2_001_val_2	14.8354811741	43.0	73.1719024799	9718452.0	25.0
030-F5_S6_L003_R1_001_val_1	15.5424597904	43.0	73.2572114991	10016364.0	25.0
030-F5_S6_L003_R2_001_val_2	15.2891592901	43.0	73.1924866149	10016364.0	25.0
030-F5_S6_L004_R1_001_val_1	15.5242300197	43.0	73.2758155014	9863318.0	25.0
030-F5_S6_L004_R2_001_val_2	14.8323637417	43.0	73.1863099213	9863318.0	25.0
032-F0_S5_L001_R1_001_val_1	28.0278702205	44.0	74.0242984077	32307796.0	16.6666666667
032-F0_S5_L001_R2_001_val_2	26.6432542271	44.0	73.9527190279	32307796.0	16.6666666667
032-F0_S5_L002_R1_001_val_1	27.1008941108	44.0	74.0356408245	31309994.0	16.6666666667
032-F0_S5_L002_R2_001_val_2	26.0472143104	44.0	73.9503015555	31309994.0	16.6666666667
032-F0_S5_L003_R1_001_val_1	27.3918802797	44.0	74.0340019949	32297105.0	16.6666666667
032-F0_S5_L003_R2_001_val_2	26.4777723058	45.0	73.9635024873	32297105.0	16.6666666667
032-F0_S5_L004_R1_001_val_1	27.0936014054	44.0	74.0463722086	31789342.0	16.6666666667
032-F0_S5_L004_R2_001_val_2	26.0857950285	44.0	73.9520119668	31789342.0	16.6666666667
032-F5_S3_L001_R1_001_val_1	29.7545334008	45.0	73.9167126303	44127243.0	16.6666666667
032-F5_S3_L001_R2_001_val_2	28.2494057095	45.0	73.849456763	44127243.0	16.6666666667
032-F5_S3_L002_R1_001_val_1	28.6978284092	45.0	73.9292236669	42888461.0	16.6666666667
032-F5_S3_L002_R2_001_val_2	27.5396715447	45.0	73.8459932615	42888461.0	16.6666666667
032-F5_S3_L003_R1_001_val_1	28.5677281042	45.0	73.9284415752	44152006.0	16.6666666667
032-F5_S3_L003_R2_001_val_2	27.9314590585	45.0	73.8610791093	44152006.0	16.6666666667
032-F5_S3_L004_R1_001_val_1	28.5340688528	45.0	73.9408308019	43509023.0	16.6666666667
032-F5_S3_L004_R2_001_val_2	27.3030228851	45.0	73.846536292	43509023.0	16.6666666667
040-F0_S2_L001_R1_001_val_1	17.0970559425	44.0	73.7727250823	13550567.0	25.0
040-F0_S2_L001_R2_001_val_2	16.253047315	44.0	73.7065238672	13550567.0	25.0
040-F0_S2_L002_R1_001_val_1	16.7005557169	44.0	73.7815800036	13115008.0	25.0
040-F0_S2_L002_R2_001_val_2	15.9238951869	44.0	73.7059112736	13115008.0	25.0
040-F0_S2_L003_R1_001_val_1	16.9299597649	44.0	73.7841916803	13569551.0	25.0
040-F0_S2_L003_R2_001_val_2	16.3172485421	44.0	73.71641184	13569551.0	25.0
040-F0_S2_L004_R1_001_val_1	16.6598122833	44.0	73.7949779043	13319101.0	25.0
040-F0_S2_L004_R2_001_val_2	16.0156751858	44.0	73.706297895	13319101.0	25.0
040-F5_S4_L001_R1_001_val_1	21.4779924461	44.0	73.7180809899	18826790.0	25.0
040-F5_S4_L001_R2_001_val_2	20.119604237	44.0	73.6548431251	18826790.0	25.0
040-F5_S4_L002_R1_001_val_1	20.9573718565	44.0	73.7287277351	18264381.0	25.0
040-F5_S4_L002_R2_001_val_2	19.6787152948	44.0	73.6485143406	18264381.0	25.0
040-F5_S4_L003_R1_001_val_1	20.6965501426	44.0	73.727758234	18820448.0	25.0
040-F5_S4_L003_R2_001_val_2	20.0732662107	44.0	73.6639515701	18820448.0	25.0
040-F5_S4_L004_R1_001_val_1	21.0804894666	44.0	73.7415649823	18536861.0	25.0
040-F5_S4_L004_R2_001_val_2	20.0874552582	44.0	73.6528224493	18536861.0	25.0
KS25_S6_L001_R1_001_val_1	19.1317436837	46.0	72.1023012665	14705859.0	16.6666666667
KS25_S6_L001_R2_001_val_2	17.7741772159	46.0	72.0710624248	14705859.0	16.6666666667
KS25_S6_L002_R1_001_val_1	18.4701154415	46.0	72.1355872969	14404255.0	16.6666666667
KS25_S6_L002_R2_001_val_2	17.6764139081	46.0	72.0902368085	14404255.0	16.6666666667
KS25_S6_L003_R1_001_val_1	18.3366244688	46.0	72.1338144514	14589351.0	16.6666666667
KS25_S6_L003_R2_001_val_2	17.9574530658	46.0	72.0904998447	14589351.0	16.6666666667
KS25_S6_L004_R1_001_val_1	18.5791626975	46.0	72.1570848353	14558299.0	16.6666666667
KS25_S6_L004_R2_001_val_2	17.8067096532	46.0	72.0860398595	14558299.0	16.6666666667
KS26_S5_L001_R1_001_val_1	23.5629889834	46.0	72.7788639498	20731215.0	16.6666666667
KS26_S5_L001_R2_001_val_2	22.1465982905	46.0	72.7438672552	20731215.0	16.6666666667
KS26_S5_L002_R1_001_val_1	23.0073652492	46.0	72.8000200943	20403790.0	16.6666666667
KS26_S5_L002_R2_001_val_2	21.8983080637	46.0	72.7533448443	20403790.0	16.6666666667
KS26_S5_L003_R1_001_val_1	22.5503346926	46.0	72.804360039	20655228.0	16.6666666667
KS26_S5_L003_R2_001_val_2	22.1986017765	46.0	72.758141135	20655228.0	16.6666666667
KS26_S5_L004_R1_001_val_1	22.8399826752	46.0	72.8207512397	20683892.0	16.6666666667
KS26_S5_L004_R2_001_val_2	22.0163385983	46.0	72.747386517	20683892.0	16.6666666667
KS27_S1_L001_R1_001_val_1	23.1600510609	45.0	72.7428427574	20040050.0	16.6666666667
KS27_S1_L001_R2_001_val_2	21.4794303036	45.0	72.6962651291	20040050.0	16.6666666667
KS27_S1_L002_R1_001_val_1	22.2760622922	45.0	72.7563171879	19626850.0	16.6666666667
KS27_S1_L002_R2_001_val_2	21.1653212653	45.0	72.6969623755	19626850.0	16.6666666667
KS27_S1_L003_R1_001_val_1	22.1051612899	45.0	72.7600837005	19904771.0	16.6666666667
KS27_S1_L003_R2_001_val_2	21.5976768324	45.0	72.7007262731	19904771.0	16.6666666667
KS27_S1_L004_R1_001_val_1	22.1827683656	45.0	72.7715018713	19891664.0	16.6666666667
KS27_S1_L004_R2_001_val_2	21.3069820958	45.0	72.6837667276	19891664.0	16.6666666667
KS28_S3_L001_R1_001_val_1	23.595074828	45.0	72.8363586408	23570001.0	16.6666666667
KS28_S3_L001_R2_001_val_2	21.9365992098	45.0	72.7959447265	23570001.0	16.6666666667
KS28_S3_L002_R1_001_val_1	22.8026304962	45.0	72.8472574161	23110870.0	16.6666666667
KS28_S3_L002_R2_001_val_2	21.9892353084	45.0	72.7923922379	23110870.0	16.6666666667
KS28_S3_L003_R1_001_val_1	22.5353083361	45.0	72.853538979	23473126.0	16.6666666667
KS28_S3_L003_R2_001_val_2	21.9239313185	45.0	72.7996875235	23473126.0	16.6666666667
KS28_S3_L004_R1_001_val_1	23.1468599161	45.0	72.8595627438	23402985.0	16.6666666667
KS28_S3_L004_R2_001_val_2	21.9734491883	45.0	72.7779276874	23402985.0	16.6666666667
KS29_S2_L001_R1_001_val_1	21.7685196857	45.0	72.8259951599	19876654.0	16.6666666667
KS29_S2_L001_R2_001_val_2	20.446987853	45.0	72.7902092576	19876654.0	16.6666666667
KS29_S2_L002_R1_001_val_1	21.1837597044	45.0	72.8366354267	19464067.0	16.6666666667
KS29_S2_L002_R2_001_val_2	20.3101561258	45.0	72.7894915282	19464067.0	16.6666666667
KS29_S2_L003_R1_001_val_1	20.9819897413	45.0	72.8425574591	19804641.0	16.6666666667
KS29_S2_L003_R2_001_val_2	20.5748188165	45.0	72.7942569623	19804641.0	16.6666666667
KS29_S2_L004_R1_001_val_1	21.4089681455	45.0	72.8494488876	19763753.0	16.6666666667
KS29_S2_L004_R2_001_val_2	20.4965294836	45.0	72.7743441238	19763753.0	16.6666666667
KS30_S4_L001_R1_001_val_1	25.2707636182	45.0	72.7308459552	25327392.0	16.6666666667
KS30_S4_L001_R2_001_val_2	23.5251002328	45.0	72.6912325596	25327392.0	16.6666666667
KS30_S4_L002_R1_001_val_1	24.5317045304	45.0	72.7428043057	24822344.0	16.6666666667
KS30_S4_L002_R2_001_val_2	23.4223983164	45.0	72.6890990633	24822344.0	16.6666666667
KS30_S4_L003_R1_001_val_1	23.9535826478	45.0	72.7464059067	25170535.0	16.6666666667
KS30_S4_L003_R2_001_val_2	23.4731728229	45.0	72.6952260649	25170535.0	16.6666666667
KS30_S4_L004_R1_001_val_1	24.4843517054	45.0	72.7550311885	25123537.0	16.6666666667
KS30_S4_L004_R2_001_val_2	23.3417302105	45.0	72.674070932	25123537.0	16.6666666667
