Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
001-F0_S3_L001_R1_001_val_1	20.4698534085	45.0	72.3630976638	22114524.0	16.6666666667
001-F0_S3_L001_R2_001_val_2	19.0298110917	45.0	72.2934001202	22114524.0	16.6666666667
001-F0_S3_L002_R1_001_val_1	19.5393989912	45.0	72.3678368625	21151730.0	16.6666666667
001-F0_S3_L002_R2_001_val_2	18.3440810788	45.0	72.2762757467	21151730.0	16.6666666667
001-F0_S3_L003_R1_001_val_1	19.5525501743	45.0	72.3583617053	22328340.0	16.6666666667
001-F0_S3_L003_R2_001_val_2	18.8585192975	45.0	72.3042568323	22328340.0	16.6666666667
001-F0_S3_L004_R1_001_val_1	18.9931276882	45.0	72.3831958166	21007745.0	16.6666666667
001-F0_S3_L004_R2_001_val_2	18.3375907246	45.0	72.2996471063	21007745.0	16.6666666667
001-F5_S2_L001_R1_001_val_1	21.6303806841	45.0	72.6990381293	20182859.0	16.6666666667
001-F5_S2_L001_R2_001_val_2	20.2271399593	45.0	72.6165898498	20182859.0	16.6666666667
001-F5_S2_L002_R1_001_val_1	20.5319492745	45.0	72.7078395052	19287748.0	16.6666666667
001-F5_S2_L002_R2_001_val_2	19.4946791334	45.0	72.6016928467	19287748.0	16.6666666667
001-F5_S2_L003_R1_001_val_1	20.8905748997	45.0	72.7225052232	20401184.0	16.6666666667
001-F5_S2_L003_R2_001_val_2	20.0418650523	45.0	72.6574558614	20401184.0	16.6666666667
001-F5_S2_L004_R1_001_val_1	20.3262566711	45.0	72.7323135049	19096873.0	16.6666666667
001-F5_S2_L004_R2_001_val_2	19.4180364633	45.0	72.6372606657	19096873.0	16.6666666667
004-F0_S5_L001_R1_001_val_1	17.3044014469	45.0	71.8165684667	15660230.0	16.6666666667
004-F0_S5_L001_R2_001_val_2	15.8292100998	45.0	71.753213714	15660230.0	16.6666666667
004-F0_S5_L002_R1_001_val_1	16.6933497399	45.0	71.8425862081	15452585.0	16.6666666667
