	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F0_S3_L001_R1_001	31.3659344126	31.4118972307	31.4828740214	31.5601744829	31.5269708945	35.1240301735	35.1418026131	35.073996607	35.2064374748	35.1403882013	35.1398072408	35.1062030939	35.0933930017	35.0857466605	35.0566088286	35.0256958709	34.9911720404	34.9233243685	34.8929610713	34.8523258791	34.8178566662	34.7899957017	34.8541344403	34.8232101163	34.7989625783	34.7632441711	34.7236471838	34.6806966625	34.6418847023	34.5932500779	34.5399095052	34.4739550769	34.4130167271	34.3498788083	34.2986775026	34.2347841587	34.1624423729	34.1053148224	34.0677341331	34.0234392422	33.9750754586	33.920022149	32.7283170462
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F0_S3_L001_R2_001	31.3243757143	31.1450545258	31.1926753423	31.2199934144	31.2003959535	34.8795834875	34.860883247	34.7826847556	34.8967036648	34.8099293448	34.7871923093	34.7305725527	34.7126904283	34.6805728945	34.651844368	34.6141647732	34.5893959162	34.5545728248	34.5216663387	34.4935558739	34.4593109773	34.4239820948	34.4837644263	34.4485184136	34.4172531797	34.3609522819	34.3010742812	34.2453443289	34.1858438678	34.1168106969	34.04734693	33.958389216	33.8988677028	33.8350106746	33.7783962941	33.7268246925	33.6794927826	33.6331504997	33.5827948702	33.5364077707	33.4698965937	33.3687845885	31.6174494778
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F0_S3_L002_R1_001	31.3563727627	31.4151006872	31.4921818757	31.567648971	31.5351223113	35.1587450984	35.1598890628	35.0966476197	35.2218203979	35.1580626124	35.1559070484	35.1236713279	35.1136634377	35.1047037937	35.0805925569	35.0526216332	35.0215110955	34.9547115767	34.9236904339	34.8873017132	34.856552822	34.8310950893	34.8931600536	34.8625574911	34.8381851708	34.8061425657	34.7714330394	34.7335060949	34.696330968	34.6478979354	34.5891424951	34.5356120021	34.4757167702	34.4242126428	34.360538178	34.2890151545	34.2312940022	34.1653983923	34.1173678421	34.0728456317	34.0251832795	33.9590789831	32.8303028469
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F0_S3_L002_R2_001	31.2923838619	31.0858516291	31.1231145544	31.1463643036	31.1337292633	34.8146764054	34.7920217922	34.7130424587	34.8284489694	34.7405951323	34.7185160037	34.655524058	34.6312349009	34.612832109	34.5827550318	34.5484354184	34.51773669	34.4815228807	34.4540200172	34.4200669633	34.3866572606	34.3539796426	34.4064956725	34.3729574397	34.331867196	34.2903303756	34.2245712204	34.173596303	34.1118352045	34.0554255639	33.988967096	33.9063353544	33.8552807973	33.7722156902	33.7118535941	33.6512515019	33.6089794938	33.5527779144	33.4995613468	33.4449184275	33.3861066328	33.2802612192	31.5757274891
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F0_S3_L003_R1_001	31.348105919	31.3978988077	31.4733323219	31.553233732	31.5155076127	35.1004336335	35.1166120458	35.0505585806	35.1901389761	35.1204113934	35.1192126119	35.0872284017	35.0786737173	35.0686096279	35.0440149352	35.0163216313	34.9794877715	34.909594523	34.8820682	34.8420386744	34.816149238	34.7863594763	34.8449266144	34.8179490346	34.7982609904	34.7664437464	34.7279649304	34.6905997677	34.6459535027	34.6031977793	34.5511264673	34.4800155852	34.420692763	34.3647564213	34.3013341647	34.2254481548	34.168247588	34.1186902949	34.0716635466	34.0367240923	33.9857211713	33.9353831981	32.7115589218
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F0_S3_L003_R2_001	31.3966038856	31.1830099498	31.2107964743	31.242484394	31.2228186619	34.8916981299	34.8788623695	34.8117156701	34.9292570675	34.8463261701	34.8225132857	34.7739579869	34.7558733027	34.7312979363	34.6953260205	34.6685544669	34.6394722624	34.6059251268	34.5772283986	34.5442646377	34.5171881003	34.4927213573	34.5409990281	34.5053045755	34.4766346811	34.4328572696	34.3752268259	34.3216679847	34.2685471948	34.2086750276	34.1354875533	34.0586527933	33.9938004299	33.9294498053	33.8797180485	33.8147539615	33.7556993582	33.7205575985	33.6729667539	33.6345130562	33.5719053997	33.4780146746	31.8735260643
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F0_S3_L004_R1_001	31.3686839777	31.4089970858	31.4880720673	31.5643008051	31.5264777634	35.1391366671	35.1401326273	35.0746911457	35.2102638146	35.1409868557	35.1370034173	35.1085059507	35.0992146243	35.0873939616	35.0626154888	35.036155205	35.0029717512	34.9353010713	34.905166606	34.869461703	34.8414273283	34.8127148953	34.8809265831	34.8454307085	34.8255571331	34.7956177766	34.7562993253	34.7202649329	34.6825306119	34.6359508272	34.5809401365	34.5322676767	34.4771760846	34.4153548809	34.365156181	34.2919396632	34.2324352341	34.1742055742	34.127196549	34.0853179527	34.042362536	33.9765292606	32.8547620505
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F0_S3_L004_R2_001	31.390835176	31.148961217	31.1799659218	31.2119513337	31.1843198195	34.8542852108	34.8394335366	34.7675243057	34.8888044592	34.7987499455	34.777395918	34.7274210479	34.7063044877	34.6802436301	34.6449959688	34.6179471329	34.5870020909	34.5547966915	34.523624888	34.4856327344	34.4530565914	34.4230104954	34.4641075708	34.4296062455	34.3888300918	34.3517840926	34.2858022604	34.2384835046	34.1768678063	34.1165786884	34.0452765181	33.9646102206	33.9214781014	33.852156795	33.7900282078	33.7255956873	33.6831903761	33.6187153141	33.5704422247	33.5262954611	33.4679301041	33.3590755542	31.6746892358
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F5_S2_L001_R1_001	31.4264266044	31.4777722915	31.5271668376	31.5973234803	31.5714768179	35.1804245866	35.1933998736	35.136800265	35.2529969886	35.1926655387	35.1894468688	35.1593926997	35.1486254968	35.1409715728	35.1140602729	35.0856284461	35.0531321328	34.9911482077	34.9635290563	34.9256839597	34.8943481321	34.8676081359	34.9109526344	34.8843613142	34.8603850793	34.827919905	34.789221521	34.747823053	34.7106645099	34.6627792619	34.6091594227	34.5460442849	34.4860540837	34.4261907018	34.375829984	34.3127260344	34.2438682391	34.1869970562	34.1540288478	34.1097947266	34.0642701293	34.0115215393	32.8501384052
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F5_S2_L001_R2_001	31.3567796069	31.1830184308	31.2306841584	31.2601938151	31.2407338929	34.9313013251	34.9097148897	34.839084357	34.9463183983	34.863561083	34.8437972429	34.7868853078	34.7688113994	34.7410615818	34.7159258039	34.6819353486	34.6581334067	34.6266613647	34.5980224299	34.5713565822	34.537153372	34.5066688846	34.5474783353	34.516329279	34.4845640484	34.4311150017	34.374940685	34.3238084607	34.2669663815	34.1971802845	34.1338008575	34.0483878711	33.9918812618	33.929994557	33.8772910059	33.8257079547	33.7819526595	33.7398896432	33.6922895378	33.6479122719	33.5834965107	33.4913324891	31.8473820029
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F5_S2_L002_R1_001	31.4181211309	31.4788874941	31.534667123	31.6052286768	31.5763498696	35.2110776381	35.2081424195	35.1524514396	35.2650922349	35.2081713671	35.2042994524	35.175875603	35.1668023491	35.1600103603	35.1355540148	35.1091622795	35.0822180622	35.0203258627	34.9925125454	34.9592161268	34.9306411923	34.906704795	34.9484098558	34.9240119576	34.8980907011	34.8680988715	34.8344852631	34.8005311161	34.7636306988	34.7157455979	34.6576483659	34.607582742	34.551152593	34.4990341812	34.4369854862	34.3679009881	34.3099534149	34.2488160249	34.2024379049	34.160688724	34.112146955	34.0518289789	32.9511974711
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F5_S2_L002_R2_001	31.3260902825	31.1245537045	31.1598713755	31.1872021805	31.1768411951	34.8699366975	34.8411785829	34.7668821641	34.8804071267	34.7948609886	34.7732810119	34.7117452141	34.6910907363	34.6750166165	34.6475152474	34.6165341241	34.5885052733	34.553948497	34.5311300153	34.5016987777	34.4696588208	34.4386756335	34.473642505	34.4444265327	34.4033355881	34.3637719247	34.3028042827	34.2548634437	34.1952872397	34.1414324226	34.0755155536	33.9970587701	33.9506295214	33.869202604	33.8111007046	33.7542842734	33.7147439825	33.6611635032	33.6120774778	33.5599465785	33.5045191099	33.4068437147	31.7893538482
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F5_S2_L003_R1_001	31.4122176086	31.4653999702	31.5202684181	31.5922696031	31.5603020412	35.1563566822	35.1683399334	35.1104600693	35.2385611191	35.1724446074	35.1711624736	35.1418056717	35.1356770104	35.1261165957	35.1039523622	35.0778813897	35.0441358797	34.979276595	34.9549691638	34.9180557161	34.8968400618	34.867459745	34.9042922451	34.8802284524	34.8634103509	34.8321941385	34.794863278	34.760598869	34.7175293267	34.6760694799	34.6238748883	34.5549730348	34.4980946093	34.443578343	34.383906507	34.3095251883	34.2541763138	34.2044000125	34.1623529483	34.1278418191	34.0794786	34.0316642105	32.8390279685
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F5_S2_L003_R2_001	31.4307288586	31.2249696272	31.2496723425	31.2851307014	31.2667628359	34.9456549836	34.9271952563	34.8692370094	34.9815957023	34.9026076735	34.8786047634	34.833397871	34.8157867543	34.7934424354	34.7595761279	34.7378385804	34.7112249103	34.6815763337	34.656768058	34.6266986557	34.6022584131	34.5777486516	34.6063803689	34.5743601218	34.5470525164	34.5043166351	34.4495270114	34.4009564059	34.3499669296	34.2913480901	34.2223918069	34.1492708229	34.089551371	34.026803874	33.978819859	33.9180198332	33.860856007	33.8272836648	33.7847770855	33.7468583012	33.6893718944	33.6014044406	32.0906947304
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F5_S2_L004_R1_001	31.4298511064	31.476733314	31.5348683427	31.605092866	31.5703874142	35.1938685862	35.1941160259	35.1332035596	35.2592711649	35.193479458	35.1895795184	35.1626159456	35.1557344202	35.1441002427	35.121446236	35.0977373768	35.0666528951	35.0032582603	34.9780901901	34.9456709997	34.9203179235	34.8936127959	34.938042068	34.9056619627	34.8861996843	34.8595641555	34.8206126487	34.7881333879	34.7518941624	34.7050111471	34.651411886	34.6066339159	34.5551343356	34.4935521476	34.4425605421	34.3731353381	34.3136273248	34.2578684052	34.2134798117	34.1727833859	34.1316680584	34.0678461766	32.9755886203
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
001-F5_S2_L004_R2_001	31.4267846067	31.1920516986	31.2199153698	31.254805619	31.2309264885	34.9111266393	34.893177664	34.8291241636	34.9427876544	34.8591034077	34.8384111586	34.7895071329	34.7694008058	34.7472348457	34.7146394641	34.6900796136	34.6620570678	34.6355656855	34.6068426517	34.5726588366	34.5410038197	34.5142951192	34.5362850424	34.5028594652	34.4662475076	34.4272620092	34.3653192552	34.3257345414	34.2648976896	34.205024548	34.1384477286	34.059625782	34.0186977214	33.9499608933	33.8928785639	33.830884721	33.7894758964	33.7297520481	33.6818537246	33.6419124572	33.5857072741	33.4852826206	31.8875592973
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
004-F0_S5_L001_R1_001	31.3156012205	31.376464842	31.4669737698	31.5526331426	31.512015792	35.0933612259	35.1109851162	35.0519719552	35.1845827834	35.0707679287	35.162387298	35.0974706984	35.1290415156	35.1089145882	35.0659350233	35.0763991268	35.0731955977	35.0700987025	35.062275218	35.0593589269	35.0465901838	35.0312919041	35.0055253903	34.9957014716	34.9741752125	34.9256320013	34.9078841285	34.888273149	34.8774534934	34.8520924807	34.8357220154	34.8133939685	34.7967639723	34.8021979803	34.7879360448	34.8248520282	34.805272223	34.7912049566	34.7778655465	34.7722448792	34.756830042	34.7414200027	34.7246212441	34.7142091371	34.7027529154	34.6858156596	34.6809735432	34.6591974719	34.6353905358	34.6182100947	34.6002423235	34.5864726206	34.5532217713	34.5345797985	34.5027608612	34.4881536786	34.4707219707	34.4360177558	34.4209781492	34.3992076901	34.3656269433	34.3360278398	34.3091733092	34.2827185105	34.2473730071	34.2099315194	34.1876354955	34.1511347558	34.1271653336	34.1018153785	34.0493295415	34.034151711	34.0048969423	33.9536499379	33.1898857698
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
004-F0_S5_L001_R2_001	31.2777914301	31.0440505429	31.097019379	31.1558673782	31.1153185326	34.7731005232	34.7524200908	34.6746437471	34.8067364032	34.6222735353	34.7724794665	34.6546547829	34.7049061701	34.6546007669	34.6080878577	34.600723255	34.597001935	34.5841430806	34.5728863403	34.554854534	34.5386867876	34.5158843532	34.4997976943	34.4856881474	34.4679960064	34.4506267538	34.4334415369	34.4149433503	34.4078582961	34.3767683483	34.3704394543	34.3550755293	34.3425184018	34.3320390468	34.3088949137	34.3606502668	34.3479179951	34.3345064945	34.3140150494	34.309207187	34.2881064432	34.2753434435	34.2520155557	34.2206361346	34.20705313	34.1809578318	34.1655220885	34.1318526067	34.1001363981	34.0722908397	34.0431019863	34.0203631651	33.9809184934	33.9498758951	33.9116649475	33.8883740977	33.8610621667	33.821477575	33.7943885982	33.7629801666	33.7388070291	33.6957982136	33.6750838716	33.6435824168	33.6260652838	33.5902016382	33.545088644	33.5211333395	33.4979247337	33.4720768155	33.4191516885	33.4019535916	33.3739528519	33.3109266031	32.1006760541
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
004-F0_S5_L002_R1_001	31.3120286971	31.3684731022	31.4652788523	31.5492916601	31.5065944976	35.0945585954	35.1044381563	35.0378878652	35.1852666365	35.0526181252	35.1494590957	35.086209804	35.1238084366	35.0956841044	35.0536370714	35.0675016939	35.0598511302	35.0619050553	35.0561200807	35.0449221676	35.0388421655	35.024724239	35.0004979154	34.989482157	34.9674544393	34.9200623975	34.8985187516	34.8789287137	34.8724122227	34.8458278676	34.8256063728	34.8049983546	34.7921294984	34.7924524706	34.7872690123	34.8146821409	34.7960550145	34.7847361334	34.770710879	34.7611497633	34.7452718981	34.7320878581	34.7153432966	34.7018027025	34.6899583968	34.6652383633	34.6662108832	34.6432862541	34.6238580372	34.603063001	34.591753272	34.5785773569	34.5507061485	34.532435568	34.4975331403	34.4845481715	34.4647186159	34.4295602023	34.4113070281	34.3859442525	34.3631612417	34.3342138227	34.3075016984	34.2759125549	34.2461669141	34.2125453336	34.1858112897	34.1393657051	34.1340896288	34.0964110096	34.0619079105	34.0325498316	33.9958696266	33.9541098687	33.2261516073
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
004-F0_S5_L002_R2_001	31.2385096509	30.9795640275	31.0228772582	31.0852070193	31.0446452332	34.6954654028	34.6750132688	34.5846603941	34.729204016	34.5320099459	34.6971496742	34.5816351701	34.6334609318	34.5695219117	34.5234421053	34.5273755918	34.5122214631	34.4981730117	34.4872496507	34.4741275551	34.4428843138	34.4361286199	34.4187558606	34.4060823588	34.3903587792	34.3710918422	34.3494067351	34.3433367775	34.3226627611	34.3033540361	34.2784557553	34.2700160475	34.2564700187	34.245555157	34.2194383903	34.2832041214	34.2526907437	34.2532625008	34.2241392712	34.228095473	34.2021806766	34.1916250675	34.1631114605	34.1317412757	34.1186442704	34.0873557987	34.0709654236	34.0464418384	34.0192420654	33.9850319479	33.9465907771	33.9159573038	33.8904063094	33.8624909861	33.815400062	33.7978672191	33.7633892752	33.7458810221	33.7077474296	33.6779482558	33.6436003926	33.6070545599	33.5977829319	33.5597348237	33.5257376118	33.5010687972	33.4675695467	33.4403695422	33.4248280396	33.3860469387	33.3295443746	33.2920892088	33.2645004846	33.173800638	31.9594091006
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
004-F0_S5_L003_R1_001	31.2765466157	31.3599966204	31.4594420385	31.5540368205	31.505560418	35.0874281153	35.084173309	35.01311518	35.1692772866	35.0358527147	35.1495834571	35.0771250818	35.1219561443	35.0998386753	35.0481242508	35.0654693045	35.0598973275	35.0539061254	35.0433349879	35.0427298064	35.0291636695	35.0157026082	34.9906938218	34.980263545	34.9648887039	34.9093704079	34.8900175829	34.8674644845	34.8484840788	34.8235283052	34.8145980299	34.799866119	34.7812731436	34.7691750232	34.7578283287	34.7917555895	34.7751907581	34.7617313963	34.7410318892	34.7377567135	34.716005983	34.702909139	34.6954534767	34.6788679252	34.6679931	34.6431409854	34.638430743	34.6189811189	34.6017149665	34.5878071265	34.5742027611	34.5638015389	34.5276105971	34.509714364	34.4665886787	34.4471089282	34.4226290836	34.4092808755	34.3850675904	34.3556973083	34.3297704935	34.2899146331	34.2754630862	34.2431382091	34.2248088445	34.1682974638	34.1496683728	34.1108473244	34.0875662622	34.0557843803	34.0176955364	33.9819522044	33.9394137881	33.9008292841	33.1400108699
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
004-F0_S5_L003_R2_001	31.31290406	31.0502845367	31.1086670419	31.165959017	31.1182299235	34.7700520456	34.7543225827	34.6816875615	34.8269451899	34.6464238775	34.7922087834	34.6797626346	34.7257741653	34.6735637516	34.6257229956	34.6307794757	34.6146456718	34.604029882	34.5847429904	34.5710451134	34.5489951611	34.5419207759	34.5135617349	34.5064944434	34.4898400756	34.4673059782	34.456797544	34.4413330816	34.4236691279	34.402974073	34.3895394863	34.3725966202	34.3621394887	34.3589401653	34.3257864146	34.3588680761	34.3496790745	34.3333450989	34.3144261604	34.3118931444	34.2880386467	34.2724788304	34.2540338974	34.2292283327	34.2115099025	34.1676506746	34.1547920296	34.1290110194	34.099214557	34.0717389609	34.0422877642	34.0261676269	33.9888971536	33.9629236437	33.9269380952	33.9109906572	33.8704565622	33.8258507323	33.7943778783	33.7722123786	33.7260177676	33.6956188699	33.6646159334	33.6315507424	33.610187597	33.5758822756	33.5403784286	33.4997193983	33.4919733781	33.4526954914	33.4159366945	33.4018536534	33.3652703476	33.2977454643	32.0904047784
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
004-F0_S5_L004_R1_001	31.3171921782	31.3760833558	31.4733477855	31.5661851213	31.5128558709	35.089571747	35.1041092258	35.0360429038	35.1926059919	35.0517726434	35.1544597702	35.1002611935	35.1336178892	35.1099378723	35.0677895848	35.0765046702	35.0750106592	35.0750465195	35.0697844283	35.0447239155	35.0421658348	35.0252231605	35.0098004033	34.9989853819	34.9815137355	34.930773768	34.9073202073	34.8827869437	34.8802085081	34.8514419369	34.8295957748	34.8210081148	34.80397764	34.8001901619	34.781673716	34.8061813864	34.8045940195	34.7754797887	34.758728665	34.748430575	34.7391708633	34.733264918	34.7118266718	34.6896905816	34.6840474447	34.651357396	34.6501748663	34.6311410887	34.6182437183	34.6107836328	34.5818101869	34.5681086313	34.5271693803	34.5114313365	34.4832051768	34.4639356426	34.4443961104	34.4095504333	34.3872254554	34.3687682492	34.3342084457	34.3196377371	34.2788690524	34.2561013836	34.2308371326	34.1975135381	34.1675057235	34.1314210377	34.1167778479	34.0850180409	34.0449877615	34.0158608967	33.9725971982	33.9514596745	33.1753592982
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
004-F0_S5_L004_R2_001	31.2853820716	30.9859322153	31.0428888484	31.0998322731	31.0606234494	34.7002534982	34.6814973239	34.5955346465	34.7476555819	34.5437503262	34.7169074393	34.5948333917	34.6460325885	34.5971102047	34.5375890463	34.5447159395	34.5244676685	34.5074461268	34.4973677101	34.4817929612	34.4661547868	34.4503519227	34.4311229917	34.4174090248	34.4032713698	34.3764273471	34.3641853773	34.3477947098	34.334738289	34.3042881319	34.2909882818	34.2608555079	34.250699883	34.2307848197	34.2135596653	34.2445522185	34.226026602	34.2113971317	34.1761600603	34.1868599838	34.1509099026	34.1516376745	34.1255420212	34.0850365948	34.0661173364	34.0404479521	34.0199522534	33.99193528	33.9634342222	33.9312955123	33.8922264978	33.8650487797	33.8387185192	33.8125568201	33.7584525276	33.7344094643	33.7086974344	33.6819755183	33.6388708138	33.6098690623	33.5839510091	33.5546298167	33.5134327319	33.4816181717	33.4492534999	33.4310039336	33.4076253564	33.3769449232	33.3558161666	33.3225199342	33.2656002279	33.2261149491	33.1833614579	33.0941781346	31.8084612871
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
004-F5_S4_L001_R1_001	31.3129017143	31.3600222545	31.442769615	31.5385191567	31.4977294542	35.0671935387	35.0767807171	35.0211575375	35.1600804496	35.0457424922	35.1121693226	35.066802109	35.0931271525	35.0529723515	35.0251062909	35.0449883882	35.0290579578	35.0231894886	35.0328096029	35.033521967	35.0081261574	35.0063110762	34.9693683426	34.9545435429	34.9492825498	34.8991013204	34.8686638577	34.8647800893	34.8461493638	34.8287133223	34.7937139297	34.759822258	34.7407239069	34.7432070155	34.7333443795	34.7752911084	34.7592510942	34.7533265127	34.7484985983	34.750565356	34.7498969566	34.7360773322	34.7195091229	34.7078078229	34.6978022632	34.684330483	34.6801564919	34.6562392824	34.6358819878	34.6161335196	34.6023557324	34.5896558729	34.5580644168	34.5361316761	34.5112564558	34.4950880269	34.4746149162	34.4423531884	34.4291917041	34.406998523	34.3770094322	34.3443149694	34.3173293495	34.2963749958	34.2586089821	34.2221541659	34.2027425935	34.1654230923	34.1448910656	34.1198151937	34.0654222691	34.0517633663	34.025432445	33.9685971964	33.1918373187
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
