Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
004-F5_S4_L004_R1_001	pass	0.0	pass	72.8140072312	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15698363.0	pass	fail	warn	46.0	81.0661027383	004-F5_S4_L004_R1_001.fastq.gz	pass	pass
004-F5_S4_L004_R2_001	pass	0.0	pass	72.8299036021	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15698363.0	pass	fail	warn	46.0	82.0304616715	004-F5_S4_L004_R2_001.fastq.gz	pass	pass
004-primary_S1_L001_R1_001	pass	0.0	pass	72.708773779	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	28053590.0	pass	fail	warn	46.0	72.3902542302	004-primary_S1_L001_R1_001.fastq.gz	pass	pass
004-primary_S1_L001_R2_001	pass	0.0	pass	72.6957327387	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	28053590.0	pass	fail	warn	46.0	74.0412508315	004-primary_S1_L001_R2_001.fastq.gz	pass	pass
004-primary_S1_L002_R1_001	pass	0.0	pass	72.7299918578	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	27703909.0	pass	fail	warn	46.0	73.4199493299	004-primary_S1_L002_R1_001.fastq.gz	pass	pass
004-primary_S1_L002_R2_001	pass	0.0	pass	72.7153734154	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	27703909.0	pass	fail	warn	46.0	74.5456107152	004-primary_S1_L002_R2_001.fastq.gz	pass	pass
004-primary_S1_L003_R1_001	pass	0.0	pass	72.7293001972	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	28156319.0	pass	fail	warn	46.0	73.4855756283	004-primary_S1_L003_R1_001.fastq.gz	pass	pass
004-primary_S1_L003_R2_001	pass	0.0	pass	72.7356323105	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	28156319.0	pass	fail	warn	46.0	74.5690250277	004-primary_S1_L003_R2_001.fastq.gz	pass	pass
004-primary_S1_L004_R1_001	pass	0.0	pass	72.7499846347	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	27952566.0	pass	fail	warn	46.0	73.7098892825	004-primary_S1_L004_R1_001.fastq.gz	pass	pass
004-primary_S1_L004_R2_001	pass	0.0	pass	72.7642666866	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	27952566.0	pass	fail	warn	46.0	74.7849186169	004-primary_S1_L004_R2_001.fastq.gz	pass	pass
005-F0_S3_L001_R1_001	pass	0.0	pass	72.6456916991	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21307669.0	pass	fail	warn	46.0	75.8730864225	005-F0_S3_L001_R1_001.fastq.gz	pass	pass
005-F0_S3_L001_R2_001	pass	0.0	pass	72.6330328766	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21307669.0	pass	fail	warn	46.0	77.1950422302	005-F0_S3_L001_R2_001.fastq.gz	pass	pass
005-F0_S3_L002_R1_001	pass	0.0	pass	72.6643445754	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20995442.0	pass	fail	warn	46.0	76.8430266753	005-F0_S3_L002_R1_001.fastq.gz	pass	pass
005-F0_S3_L002_R2_001	pass	0.0	pass	72.6486726024	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	20995442.0	pass	fail	warn	46.0	77.7932263948	005-F0_S3_L002_R2_001.fastq.gz	pass	pass
005-F0_S3_L003_R1_001	pass	0.0	pass	72.6675486942	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21471740.0	pass	fail	warn	46.0	76.8496109168	005-F0_S3_L003_R1_001.fastq.gz	pass	pass
005-F0_S3_L003_R2_001	pass	0.0	pass	72.6743259279	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21471740.0	pass	fail	warn	46.0	77.5924740923	005-F0_S3_L003_R2_001.fastq.gz	pass	pass
005-F0_S3_L004_R1_001	pass	0.0	pass	72.6835865114	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21228997.0	pass	fail	warn	46.0	76.7986366186	005-F0_S3_L004_R1_001.fastq.gz	pass	pass
005-F0_S3_L004_R2_001	pass	0.0	pass	72.6978284466	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	21228997.0	pass	fail	warn	46.0	77.5511048889	005-F0_S3_L004_R2_001.fastq.gz	pass	pass
005-F5_S2_L001_R1_001	pass	0.0	pass	73.1505642555	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18168987.0	pass	fail	warn	46.0	78.343401352	005-F5_S2_L001_R1_001.fastq.gz	pass	pass
005-F5_S2_L001_R2_001	pass	0.0	pass	73.1358964041	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18168987.0	pass	fail	warn	46.0	79.4995401231	005-F5_S2_L001_R2_001.fastq.gz	pass	pass
005-F5_S2_L002_R1_001	pass	0.0	pass	73.1629371558	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	17961962.0	pass	fail	warn	46.0	78.8829277982	005-F5_S2_L002_R1_001.fastq.gz	pass	pass
005-F5_S2_L002_R2_001	pass	0.0	pass	73.1445301465	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	17961962.0	pass	fail	warn	46.0	79.9376786676	005-F5_S2_L002_R2_001.fastq.gz	pass	pass
005-F5_S2_L003_R1_001	pass	0.0	pass	73.1576875162	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18273425.0	pass	fail	warn	46.0	78.8810093223	005-F5_S2_L003_R1_001.fastq.gz	pass	pass
005-F5_S2_L003_R2_001	pass	0.0	pass	73.1612774836	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18273425.0	pass	fail	warn	46.0	79.7725417518	005-F5_S2_L003_R2_001.fastq.gz	pass	pass
005-F5_S2_L004_R1_001	pass	0.0	pass	73.1717204381	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18146547.0	pass	fail	warn	46.0	78.9363935806	005-F5_S2_L004_R1_001.fastq.gz	pass	pass
005-F5_S2_L004_R2_001	pass	0.0	pass	73.1830305237	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18146547.0	pass	fail	warn	46.0	79.8282567085	005-F5_S2_L004_R2_001.fastq.gz	pass	pass
005-primary_S6_L001_R1_001	pass	0.0	pass	72.5637983106	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	30996338.0	pass	fail	warn	45.0	71.9529363869	005-primary_S6_L001_R1_001.fastq.gz	pass	pass
005-primary_S6_L001_R2_001	pass	0.0	pass	72.5527969143	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	30996338.0	pass	fail	warn	45.0	73.5930524679	005-primary_S6_L001_R2_001.fastq.gz	pass	pass
005-primary_S6_L002_R1_001	pass	0.0	pass	72.5828394467	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	30560658.0	pass	fail	warn	45.0	72.9896119321	005-primary_S6_L002_R1_001.fastq.gz	pass	pass
005-primary_S6_L002_R2_001	pass	0.0	pass	72.569607729	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	30560658.0	pass	fail	warn	45.0	74.1890734828	005-primary_S6_L002_R2_001.fastq.gz	pass	pass
005-primary_S6_L003_R1_001	pass	0.0	pass	72.5790171283	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	31193471.0	pass	fail	warn	45.0	73.234083467	005-primary_S6_L003_R1_001.fastq.gz	pass	pass
005-primary_S6_L003_R2_001	pass	0.0	pass	72.5864189016	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	31193471.0	pass	fail	warn	45.0	74.1152960001	005-primary_S6_L003_R2_001.fastq.gz	pass	pass
005-primary_S6_L004_R1_001	pass	0.0	pass	72.5931055803	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	30898873.0	pass	fail	warn	45.0	73.1307617469	005-primary_S6_L004_R1_001.fastq.gz	pass	pass
005-primary_S6_L004_R2_001	pass	0.0	pass	72.6087142725	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	30898873.0	pass	fail	warn	45.0	74.1161744738	005-primary_S6_L004_R2_001.fastq.gz	pass	pass
006-F0_S6_L001_R1_001	pass	0.0	pass	73.7926073408	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	23361039.0	pass	fail	warn	46.0	75.8020366692	006-F0_S6_L001_R1_001.fastq.gz	pass	pass
006-F0_S6_L001_R2_001	pass	0.0	pass	73.794702025	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	23361039.0	pass	fail	warn	46.0	77.0483152552	006-F0_S6_L001_R2_001.fastq.gz	pass	pass
006-F0_S6_L002_R1_001	pass	0.0	pass	73.7922401097	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	22342017.0	pass	fail	warn	46.0	77.0458298819	006-F0_S6_L002_R1_001.fastq.gz	pass	pass
006-F0_S6_L002_R2_001	pass	0.0	pass	73.801438205	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	22342017.0	pass	fail	warn	46.0	77.8954645079	006-F0_S6_L002_R2_001.fastq.gz	pass	pass
006-F0_S6_L003_R1_001	pass	0.0	pass	73.7840820196	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	23554458.0	pass	fail	warn	46.0	76.5747990013	006-F0_S6_L003_R1_001.fastq.gz	pass	pass
006-F0_S6_L003_R2_001	pass	0.0	pass	73.7994909923	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	23554458.0	pass	fail	warn	46.0	77.120789346	006-F0_S6_L003_R2_001.fastq.gz	pass	pass
006-F0_S6_L004_R1_001	pass	0.0	pass	73.8031692395	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	22170366.0	pass	fail	warn	46.0	76.9698794401	006-F0_S6_L004_R1_001.fastq.gz	pass	pass
006-F0_S6_L004_R2_001	pass	0.0	pass	73.8245801625	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	22170366.0	pass	fail	warn	46.0	77.6978133337	006-F0_S6_L004_R2_001.fastq.gz	warn	pass
006-F5_S1_L001_R1_001	pass	0.0	pass	74.5511471104	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21702184.0	pass	fail	warn	46.0	77.4189362445	006-F5_S1_L001_R1_001.fastq.gz	pass	pass
006-F5_S1_L001_R2_001	pass	0.0	pass	74.5460073972	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21702184.0	pass	fail	warn	46.0	78.7021645788	006-F5_S1_L001_R2_001.fastq.gz	pass	pass
006-F5_S1_L002_R1_001	pass	0.0	pass	74.5510174391	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20799231.0	pass	fail	warn	46.0	78.6071988513	006-F5_S1_L002_R1_001.fastq.gz	pass	pass
006-F5_S1_L002_R2_001	pass	0.0	pass	74.5508859919	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20799231.0	pass	fail	warn	46.0	79.4680459035	006-F5_S1_L002_R2_001.fastq.gz	pass	pass
006-F5_S1_L003_R1_001	pass	0.0	pass	74.543924679	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21865248.0	pass	fail	warn	46.0	78.0177029644	006-F5_S1_L003_R1_001.fastq.gz	pass	pass
006-F5_S1_L003_R2_001	pass	0.0	pass	74.5522525059	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21865248.0	pass	fail	warn	46.0	78.6597702337	006-F5_S1_L003_R2_001.fastq.gz	pass	pass
006-F5_S1_L004_R1_001	pass	0.0	pass	74.555754942	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20663953.0	pass	fail	warn	46.0	78.7934646006	006-F5_S1_L004_R1_001.fastq.gz	pass	pass
006-F5_S1_L004_R2_001	pass	0.0	pass	74.5682098193	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20663953.0	pass	fail	warn	46.0	79.4972040421	006-F5_S1_L004_R2_001.fastq.gz	warn	pass
008-F0_S1_L001_R1_001	pass	0.0	pass	74.0332480492	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	23148125.0	pass	fail	pass	45.0	72.1012857115	008-F0_S1_L001_R1_001.fastq.gz	warn	pass
008-F0_S1_L001_R2_001	pass	0.0	pass	74.0170967195	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	23148125.0	pass	fail	pass	45.0	73.9530823834	008-F0_S1_L001_R2_001.fastq.gz	fail	pass
008-F0_S1_L002_R1_001	pass	0.0	pass	74.0305143585	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	22853438.0	pass	fail	pass	45.0	72.8962747548	008-F0_S1_L002_R1_001.fastq.gz	pass	pass
008-F0_S1_L002_R2_001	pass	0.0	pass	74.015427088	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	22853438.0	pass	fail	pass	45.0	74.1495048712	008-F0_S1_L002_R2_001.fastq.gz	pass	pass
008-F0_S1_L003_R1_001	pass	0.0	pass	74.0265931929	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	22658430.0	pass	fail	pass	45.0	73.0057252446	008-F0_S1_L003_R1_001.fastq.gz	fail	pass
008-F0_S1_L003_R2_001	pass	0.0	pass	74.0129712871	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	22658430.0	pass	fail	pass	45.0	73.7594182073	008-F0_S1_L003_R2_001.fastq.gz	fail	pass
008-F0_S1_L004_R1_001	pass	0.0	pass	74.0348100262	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	23331956.0	pass	fail	pass	45.0	72.4924514851	008-F0_S1_L004_R1_001.fastq.gz	pass	pass
008-F0_S1_L004_R2_001	pass	0.0	pass	74.022429624	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	23331956.0	pass	fail	pass	45.0	73.3807729971	008-F0_S1_L004_R2_001.fastq.gz	pass	pass
008-F5_S2_L001_R1_001	pass	0.0	pass	74.0452493729	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	12925704.0	pass	fail	pass	46.0	76.4802618178	008-F5_S2_L001_R1_001.fastq.gz	warn	pass
008-F5_S2_L001_R2_001	pass	0.0	pass	74.0284164019	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	12925704.0	pass	fail	pass	46.0	77.9181676142	008-F5_S2_L001_R2_001.fastq.gz	fail	pass
008-F5_S2_L002_R1_001	pass	0.0	pass	74.0434133308	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	12771607.0	pass	fail	pass	46.0	77.1086739963	008-F5_S2_L002_R1_001.fastq.gz	pass	pass
008-F5_S2_L002_R2_001	pass	0.0	pass	74.0298599072	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	12771607.0	pass	fail	pass	46.0	78.1684923289	008-F5_S2_L002_R2_001.fastq.gz	pass	pass
008-F5_S2_L003_R1_001	pass	0.0	pass	74.0450867869	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	12689527.0	pass	fail	pass	46.0	77.2485633394	008-F5_S2_L003_R1_001.fastq.gz	fail	pass
008-F5_S2_L003_R2_001	pass	0.0	pass	74.0329410229	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	12689527.0	pass	fail	pass	46.0	77.9156741618	008-F5_S2_L003_R2_001.fastq.gz	fail	pass
008-F5_S2_L004_R1_001	pass	0.0	pass	74.0504897102	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	13029031.0	pass	fail	pass	46.0	76.9376567499	008-F5_S2_L004_R1_001.fastq.gz	pass	pass
008-F5_S2_L004_R2_001	pass	0.0	pass	74.0382860398	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	13029031.0	pass	fail	pass	46.0	77.5937264431	008-F5_S2_L004_R2_001.fastq.gz	pass	pass
018-F0_S3_L001_R1_001	pass	0.0	pass	73.9707350078	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18743692.0	pass	fail	pass	45.0	72.493104272	018-F0_S3_L001_R1_001.fastq.gz	warn	pass
018-F0_S3_L001_R2_001	pass	0.0	pass	73.9535884926	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18743692.0	pass	fail	pass	45.0	73.9350622808	018-F0_S3_L001_R2_001.fastq.gz	fail	pass
018-F0_S3_L002_R1_001	pass	0.0	pass	73.967981036	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18504565.0	pass	fail	pass	45.0	73.2133438239	018-F0_S3_L002_R1_001.fastq.gz	pass	pass
018-F0_S3_L002_R2_001	pass	0.0	pass	73.9516561454	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18504565.0	pass	fail	pass	45.0	74.0767119874	018-F0_S3_L002_R2_001.fastq.gz	pass	pass
018-F0_S3_L003_R1_001	pass	0.0	pass	73.96690216	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18370655.0	pass	fail	pass	45.0	73.1742136035	018-F0_S3_L003_R1_001.fastq.gz	fail	pass
018-F0_S3_L003_R2_001	pass	0.0	pass	73.9521963153	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18370655.0	pass	fail	pass	45.0	73.8250279365	018-F0_S3_L003_R2_001.fastq.gz	fail	pass
018-F0_S3_L004_R1_001	pass	0.0	pass	73.9733514809	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18888104.0	pass	fail	pass	45.0	72.8898897322	018-F0_S3_L004_R1_001.fastq.gz	pass	pass
018-F0_S3_L004_R2_001	pass	0.0	pass	73.9589421469	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	18888104.0	pass	fail	pass	45.0	73.375960371	018-F0_S3_L004_R2_001.fastq.gz	pass	pass
018-F5_S4_L001_R1_001	pass	0.0	pass	73.9756465854	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	16465535.0	pass	fail	pass	46.0	75.2676469362	018-F5_S4_L001_R1_001.fastq.gz	fail	pass
