Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
001-F0_S3_L001_R1_001	pass	0.0	pass	73.0715859706	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	22236452.0	pass	fail	warn	45.0	77.875074617	001-F0_S3_L001_R1_001.fastq.gz	pass	pass
001-F0_S3_L001_R2_001	pass	0.0	pass	73.0827019976	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	22236452.0	pass	fail	warn	45.0	78.871811346	001-F0_S3_L001_R2_001.fastq.gz	pass	pass
001-F0_S3_L002_R1_001	pass	0.0	pass	73.0684261174	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21270767.0	pass	fail	warn	45.0	78.9461095216	001-F0_S3_L002_R1_001.fastq.gz	pass	pass
001-F0_S3_L002_R2_001	pass	0.0	pass	73.0887426861	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21270767.0	pass	fail	warn	46.0	79.8449829482	001-F0_S3_L002_R2_001.fastq.gz	pass	pass
001-F0_S3_L003_R1_001	pass	0.0	pass	73.0652243335	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	22430693.0	pass	fail	warn	45.0	78.7251131884	001-F0_S3_L003_R1_001.fastq.gz	pass	pass
001-F0_S3_L003_R2_001	pass	0.0	pass	73.0878522567	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	22430693.0	pass	fail	warn	45.0	79.2466017823	001-F0_S3_L003_R2_001.fastq.gz	pass	pass
001-F0_S3_L004_R1_001	pass	0.0	pass	73.0824896212	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21110280.0	pass	fail	warn	45.0	79.3523319643	001-F0_S3_L004_R1_001.fastq.gz	pass	pass
001-F0_S3_L004_R2_001	pass	0.0	pass	73.1137856059	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	21110280.0	pass	fail	warn	46.0	79.6705614269	001-F0_S3_L004_R2_001.fastq.gz	warn	pass
001-F5_S2_L001_R1_001	pass	0.0	pass	73.3865667721	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20276854.0	pass	fail	warn	45.0	76.7707249614	001-F5_S2_L001_R1_001.fastq.gz	pass	pass
001-F5_S2_L001_R2_001	pass	0.0	pass	73.3919474392	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20276854.0	pass	fail	warn	45.0	77.6443253557	001-F5_S2_L001_R2_001.fastq.gz	pass	pass
001-F5_S2_L002_R1_001	pass	0.0	pass	73.3862750097	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	19379817.0	pass	fail	warn	45.0	77.9960702128	001-F5_S2_L002_R1_001.fastq.gz	pass	pass
001-F5_S2_L002_R2_001	pass	0.0	pass	73.4002791667	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	19379817.0	pass	fail	warn	45.0	78.7128994155	001-F5_S2_L002_R2_001.fastq.gz	pass	pass
001-F5_S2_L003_R1_001	pass	0.0	pass	73.4086597101	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20476413.0	pass	fail	warn	45.0	77.3853989926	001-F5_S2_L003_R1_001.fastq.gz	pass	pass
001-F5_S2_L003_R2_001	pass	0.0	pass	73.4269930969	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	20476413.0	pass	fail	warn	45.0	78.0467051291	001-F5_S2_L003_R2_001.fastq.gz	pass	pass
001-F5_S2_L004_R1_001	pass	0.0	pass	73.4127309811	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	19172348.0	pass	fail	warn	45.0	78.0244431412	001-F5_S2_L004_R1_001.fastq.gz	pass	pass
001-F5_S2_L004_R2_001	pass	0.0	pass	73.4388343566	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	19172348.0	pass	fail	warn	45.0	78.6834578969	001-F5_S2_L004_R2_001.fastq.gz	warn	pass
004-F0_S5_L001_R1_001	pass	0.0	pass	73.0012090684	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15736083.0	pass	fail	warn	45.0	81.4843098141	004-F0_S5_L001_R1_001.fastq.gz	pass	pass
004-F0_S5_L001_R2_001	pass	0.0	pass	72.9881439365	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15736083.0	pass	fail	warn	45.0	82.6997967028	004-F0_S5_L001_R2_001.fastq.gz	pass	pass
004-F0_S5_L002_R1_001	pass	0.0	pass	73.0251826843	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15530751.0	pass	fail	warn	45.0	82.1579552568	004-F0_S5_L002_R1_001.fastq.gz	pass	pass
004-F0_S5_L002_R2_001	pass	0.0	pass	73.0113612664	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15530751.0	pass	fail	warn	45.0	82.9386748684	004-F0_S5_L002_R2_001.fastq.gz	pass	pass
004-F0_S5_L003_R1_001	pass	0.0	pass	73.0385412281	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15788651.0	pass	fail	warn	45.0	82.2996287834	004-F0_S5_L003_R1_001.fastq.gz	pass	pass
004-F0_S5_L003_R2_001	pass	0.0	pass	73.0452801192	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15788651.0	pass	fail	warn	45.0	82.8018855503	004-F0_S5_L003_R2_001.fastq.gz	pass	pass
004-F0_S5_L004_R1_001	pass	0.0	pass	73.0528707867	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15671906.0	pass	fail	warn	45.0	82.2774776325	004-F0_S5_L004_R1_001.fastq.gz	pass	pass
004-F0_S5_L004_R2_001	pass	0.0	pass	73.0679834986	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15671906.0	pass	fail	warn	45.0	83.1423466623	004-F0_S5_L004_R2_001.fastq.gz	pass	pass
004-F5_S4_L001_R1_001	pass	0.0	pass	72.7789819837	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15788274.0	pass	fail	warn	46.0	80.6322075802	004-F5_S4_L001_R1_001.fastq.gz	pass	pass
004-F5_S4_L001_R2_001	pass	0.0	pass	72.7686374711	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15788274.0	pass	fail	warn	46.0	81.5470387735	004-F5_S4_L001_R2_001.fastq.gz	pass	pass
004-F5_S4_L002_R1_001	pass	0.0	pass	72.7959313435	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15551325.0	pass	fail	warn	46.0	81.0489386544	004-F5_S4_L002_R1_001.fastq.gz	pass	pass
004-F5_S4_L002_R2_001	pass	0.0	pass	72.7826291972	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15551325.0	pass	fail	warn	46.0	81.9563057459	004-F5_S4_L002_R2_001.fastq.gz	pass	pass
004-F5_S4_L003_R1_001	pass	0.0	pass	72.7940386981	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	warn	15844928.0	pass	fail	warn	46.0	81.1923323209	004-F5_S4_L003_R1_001.fastq.gz	pass	pass
004-F5_S4_L003_R2_001	pass	0.0	pass	72.8022821562	Sanger / Illumina 1.9	fail	pass	warn	35-75	Conventional base calls	pass	pass	15844928.0	pass	fail	warn	46.0	81.900881937	004-F5_S4_L003_R2_001.fastq.gz	pass	pass
