Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
004-primary_S1_L001_R1_001	pass	0.0	pass	47.8601246879	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	27552153.0	pass	pass	pass	45.0	72.2293280482	004-primary_S1_L001_R1_001_trimmed.fq.gz	pass	pass
004-primary_S1_L001_R2_001	pass	0.0	pass	47.8170012782	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	27468323.0	pass	pass	pass	45.0	74.2603702905	004-primary_S1_L001_R2_001_trimmed.fq.gz	pass	pass
004-primary_S1_L002_R1_001	pass	0.0	pass	47.873116717	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	27216966.0	pass	pass	pass	45.0	73.0990988046	004-primary_S1_L002_R1_001_trimmed.fq.gz	pass	pass
004-primary_S1_L002_R2_001	pass	0.0	pass	47.8233236291	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	27122563.0	pass	pass	pass	45.0	74.5385992014	004-primary_S1_L002_R2_001_trimmed.fq.gz	pass	pass
004-primary_S1_L003_R1_001	pass	0.0	pass	47.8659972081	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	27664446.0	pass	pass	pass	45.0	73.0960319559	004-primary_S1_L003_R1_001_trimmed.fq.gz	pass	pass
004-primary_S1_L003_R2_001	pass	0.0	pass	47.8231803216	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	27613629.0	pass	pass	pass	45.0	74.4572465178	004-primary_S1_L003_R2_001_trimmed.fq.gz	pass	pass
004-primary_S1_L004_R1_001	pass	0.0	pass	47.8836825657	Sanger / Illumina 1.9	warn	pass	warn	20-50	Conventional base calls	pass	pass	27470293.0	pass	pass	pass	45.0	73.3483040528	004-primary_S1_L004_R1_001_trimmed.fq.gz	pass	pass
004-primary_S1_L004_R2_001	pass	0.0	pass	47.824808431	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	27402660.0	pass	pass	pass	45.0	74.8120045113	004-primary_S1_L004_R2_001_trimmed.fq.gz	pass	pass
005-F0_S3_L001_R1_001	pass	0.0	pass	47.8233490736	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	20900281.0	pass	pass	pass	45.0	75.577299067	005-F0_S3_L001_R1_001_trimmed.fq.gz	pass	pass
005-F0_S3_L001_R2_001	pass	0.0	pass	47.7893205343	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	20842672.0	pass	pass	pass	45.0	77.1830868289	005-F0_S3_L001_R2_001_trimmed.fq.gz	pass	pass
005-F0_S3_L002_R1_001	pass	0.0	pass	47.8348876504	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	20600258.0	pass	pass	pass	45.0	76.40382497	005-F0_S3_L002_R1_001_trimmed.fq.gz	pass	pass
005-F0_S3_L002_R2_001	pass	0.0	pass	47.7956519078	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	20537099.0	pass	pass	pass	45.0	77.6626970517	005-F0_S3_L002_R2_001_trimmed.fq.gz	pass	pass
005-F0_S3_L003_R1_001	pass	0.0	pass	47.8310242986	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	21069627.0	pass	pass	pass	45.0	76.3825355496	005-F0_S3_L003_R1_001_trimmed.fq.gz	pass	pass
005-F0_S3_L003_R2_001	pass	0.0	pass	47.79779436	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	21037069.0	pass	pass	pass	45.0	77.4091919654	005-F0_S3_L003_R2_001_trimmed.fq.gz	pass	pass
005-F0_S3_L004_R1_001	pass	0.0	pass	47.8436862233	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	20836372.0	pass	pass	pass	45.0	76.3811320575	005-F0_S3_L004_R1_001_trimmed.fq.gz	pass	pass
005-F0_S3_L004_R2_001	pass	0.0	pass	47.797201424	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	20793075.0	pass	pass	pass	45.0	77.5264077703	005-F0_S3_L004_R2_001_trimmed.fq.gz	pass	pass
005-F5_S2_L001_R1_001	pass	0.0	pass	48.1796562304	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	17896752.0	pass	pass	pass	45.0	77.9884914478	005-F5_S2_L001_R1_001_trimmed.fq.gz	pass	pass
005-F5_S2_L001_R2_001	pass	0.0	pass	48.1416955264	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	17846682.0	pass	pass	pass	45.0	79.4436003198	005-F5_S2_L001_R2_001_trimmed.fq.gz	pass	pass
005-F5_S2_L002_R1_001	pass	0.0	pass	48.1885163156	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	17696028.0	pass	pass	pass	45.0	78.4259501468	005-F5_S2_L002_R1_001_trimmed.fq.gz	pass	pass
005-F5_S2_L002_R2_001	pass	0.0	pass	48.1419785029	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	17639762.0	pass	pass	pass	45.0	79.8274217269	005-F5_S2_L002_R2_001_trimmed.fq.gz	pass	pass
005-F5_S2_L003_R1_001	pass	0.0	pass	48.1787915287	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	18002844.0	pass	pass	pass	45.0	78.5273343692	005-F5_S2_L003_R1_001_trimmed.fq.gz	pass	pass
005-F5_S2_L003_R2_001	pass	0.0	pass	48.1399103741	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	17974264.0	pass	pass	pass	45.0	79.6009340767	005-F5_S2_L003_R2_001_trimmed.fq.gz	pass	pass
005-F5_S2_L004_R1_001	pass	0.0	pass	48.1908179183	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	17881261.0	pass	pass	pass	45.0	78.5386052969	005-F5_S2_L004_R1_001_trimmed.fq.gz	pass	pass
005-F5_S2_L004_R2_001	pass	0.0	pass	48.1353195931	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	17841607.0	pass	pass	pass	45.0	79.763566148	005-F5_S2_L004_R2_001_trimmed.fq.gz	pass	pass
005-primary_S6_L001_R1_001	pass	0.0	pass	47.8115386553	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	30356241.0	pass	pass	pass	45.0	71.7410984158	005-primary_S6_L001_R1_001_trimmed.fq.gz	pass	pass
005-primary_S6_L001_R2_001	pass	0.0	pass	47.7708726832	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	30261682.0	pass	pass	pass	44.0	73.6694949345	005-primary_S6_L001_R2_001_trimmed.fq.gz	pass	pass
005-primary_S6_L002_R1_001	pass	0.0	pass	47.8223401548	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	29938020.0	pass	pass	pass	44.0	72.5234391933	005-primary_S6_L002_R1_001_trimmed.fq.gz	pass	pass
005-primary_S6_L002_R2_001	pass	0.0	pass	47.774310585	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	29833774.0	pass	pass	pass	44.0	74.1689573497	005-primary_S6_L002_R2_001_trimmed.fq.gz	pass	pass
005-primary_S6_L003_R1_001	pass	0.0	pass	47.8123336461	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	30560598.0	pass	pass	pass	45.0	72.865157399	005-primary_S6_L003_R1_001_trimmed.fq.gz	pass	pass
005-primary_S6_L003_R2_001	pass	0.0	pass	47.772282268	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	30502640.0	pass	pass	pass	45.0	74.0634771882	005-primary_S6_L003_R2_001_trimmed.fq.gz	pass	pass
005-primary_S6_L004_R1_001	pass	0.0	pass	47.826052738	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	30275958.0	pass	pass	pass	45.0	72.7859243947	005-primary_S6_L004_R1_001_trimmed.fq.gz	pass	pass
005-primary_S6_L004_R2_001	pass	0.0	pass	47.7689195875	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	30201002.0	pass	pass	pass	44.0	74.1105715291	005-primary_S6_L004_R2_001_trimmed.fq.gz	pass	pass
006-F0_S6_L001_R1_001	pass	0.0	pass	48.9101976085	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	22929935.0	pass	pass	pass	45.0	76.8150976248	006-F0_S6_L001_R1_001_trimmed.fq.gz	pass	pass
006-F0_S6_L001_R2_001	pass	0.0	pass	48.8542526511	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	22869452.0	pass	pass	pass	45.0	78.5346270809	006-F0_S6_L001_R2_001_trimmed.fq.gz	pass	pass
006-F0_S6_L002_R1_001	pass	0.0	pass	48.9153569983	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21930425.0	pass	pass	pass	45.0	77.8881844224	006-F0_S6_L002_R1_001_trimmed.fq.gz	pass	pass
006-F0_S6_L002_R2_001	pass	0.0	pass	48.8488100826	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21864626.0	pass	pass	pass	46.0	79.0354906341	006-F0_S6_L002_R2_001_trimmed.fq.gz	pass	pass
006-F0_S6_L003_R1_001	pass	0.0	pass	48.9008672011	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	23121510.0	pass	pass	pass	45.0	77.6042932174	006-F0_S6_L003_R1_001_trimmed.fq.gz	pass	pass
006-F0_S6_L003_R2_001	pass	0.0	pass	48.8535397959	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	23083506.0	pass	pass	pass	45.0	78.5587120573	006-F0_S6_L003_R2_001_trimmed.fq.gz	pass	pass
006-F0_S6_L004_R1_001	pass	0.0	pass	48.9226822099	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21765172.0	pass	pass	pass	45.0	77.9729440396	006-F0_S6_L004_R1_001_trimmed.fq.gz	pass	pass
006-F0_S6_L004_R2_001	pass	0.0	pass	48.8605922912	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21719215.0	pass	pass	warn	45.0	79.0619915521	006-F0_S6_L004_R2_001_trimmed.fq.gz	pass	pass
006-F5_S1_L001_R1_001	pass	0.0	pass	49.4370881941	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21445482.0	pass	pass	pass	45.0	78.591590725	006-F5_S1_L001_R1_001_trimmed.fq.gz	pass	pass
006-F5_S1_L001_R2_001	pass	0.0	pass	49.3687547947	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21392031.0	pass	pass	pass	45.0	80.2827234088	006-F5_S1_L001_R2_001_trimmed.fq.gz	pass	pass
006-F5_S1_L002_R1_001	pass	0.0	pass	49.4428607941	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	20552587.0	pass	pass	pass	45.0	79.5999862078	006-F5_S1_L002_R1_001_trimmed.fq.gz	pass	pass
006-F5_S1_L002_R2_001	pass	0.0	pass	49.3613807086	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	20492898.0	pass	pass	pass	46.0	80.7663091851	006-F5_S1_L002_R2_001_trimmed.fq.gz	pass	pass
006-F5_S1_L003_R1_001	pass	0.0	pass	49.4313800633	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21605820.0	pass	pass	pass	45.0	79.2644314173	006-F5_S1_L003_R1_001_trimmed.fq.gz	pass	pass
006-F5_S1_L003_R2_001	pass	0.0	pass	49.37189945	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21573350.0	pass	pass	pass	45.0	80.1753154677	006-F5_S1_L003_R2_001_trimmed.fq.gz	pass	pass
006-F5_S1_L004_R1_001	pass	0.0	pass	49.4473536213	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	20419942.0	pass	pass	pass	45.0	79.915492025	006-F5_S1_L004_R1_001_trimmed.fq.gz	pass	pass
006-F5_S1_L004_R2_001	pass	0.0	pass	49.369944913	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	20378853.0	pass	pass	pass	45.0	81.0685375817	006-F5_S1_L004_R2_001_trimmed.fq.gz	pass	pass
008-F0_S1_L001_R1_001	pass	0.0	pass	48.7923745934	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	23010445.0	pass	pass	pass	45.0	71.5858059726	008-F0_S1_L001_R1_001_trimmed.fq.gz	warn	pass
008-F0_S1_L001_R2_001	pass	0.0	pass	48.748389554	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	22947835.0	pass	pass	pass	44.0	74.0369676876	008-F0_S1_L001_R2_001_trimmed.fq.gz	fail	pass
008-F0_S1_L002_R1_001	pass	0.0	pass	48.7902060197	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	22716076.0	pass	pass	pass	45.0	72.5236890277	008-F0_S1_L002_R1_001_trimmed.fq.gz	pass	pass
008-F0_S1_L002_R2_001	pass	0.0	pass	48.7328430959	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	22638554.0	pass	pass	pass	45.0	73.9285862663	008-F0_S1_L002_R2_001_trimmed.fq.gz	pass	pass
008-F0_S1_L003_R1_001	pass	0.0	pass	48.7834621551	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	22521689.0	pass	pass	pass	45.0	72.4236277204	008-F0_S1_L003_R1_001_trimmed.fq.gz	fail	pass
008-F0_S1_L003_R2_001	pass	0.0	pass	48.7405194664	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	22460471.0	pass	pass	pass	45.0	73.5317821341	008-F0_S1_L003_R2_001_trimmed.fq.gz	fail	pass
008-F0_S1_L004_R1_001	pass	0.0	pass	48.7932556536	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	23193263.0	pass	pass	pass	45.0	71.9835152724	008-F0_S1_L004_R1_001_trimmed.fq.gz	pass	pass
008-F0_S1_L004_R2_001	pass	0.0	pass	48.7384216016	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	23122261.0	pass	pass	pass	45.0	73.1835268018	008-F0_S1_L004_R2_001_trimmed.fq.gz	pass	pass
008-F5_S2_L001_R1_001	pass	0.0	pass	48.7887506968	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	12865188.0	pass	pass	pass	45.0	76.0383897352	008-F5_S2_L001_R1_001_trimmed.fq.gz	warn	pass
008-F5_S2_L001_R2_001	pass	0.0	pass	48.7504299037	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	12834270.0	pass	pass	pass	45.0	77.9376113465	008-F5_S2_L001_R2_001_trimmed.fq.gz	fail	pass
008-F5_S2_L002_R1_001	pass	0.0	pass	48.7884771149	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	12711504.0	pass	pass	pass	45.0	76.7593094563	008-F5_S2_L002_R1_001_trimmed.fq.gz	pass	pass
008-F5_S2_L002_R2_001	pass	0.0	pass	48.7394146384	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	12673705.0	pass	pass	pass	45.0	77.8468882241	008-F5_S2_L002_R2_001_trimmed.fq.gz	pass	pass
008-F5_S2_L003_R1_001	pass	0.0	pass	48.7837616169	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	12631430.0	pass	pass	pass	45.0	76.734830677	008-F5_S2_L003_R1_001_trimmed.fq.gz	fail	pass
008-F5_S2_L003_R2_001	pass	0.0	pass	48.7482147679	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	12601863.0	pass	pass	pass	45.0	77.603816903	008-F5_S2_L003_R2_001_trimmed.fq.gz	fail	pass
008-F5_S2_L004_R1_001	pass	0.0	pass	48.7918056179	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	12969178.0	pass	pass	pass	45.0	76.3832882459	008-F5_S2_L004_R1_001_trimmed.fq.gz	pass	pass
008-F5_S2_L004_R2_001	pass	0.0	pass	48.7450396002	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	12934542.0	pass	pass	pass	45.0	77.4007205194	008-F5_S2_L004_R2_001_trimmed.fq.gz	pass	pass
018-F0_S3_L001_R1_001	pass	0.0	pass	48.7438972815	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	18637268.0	pass	pass	pass	44.0	72.1918037826	018-F0_S3_L001_R1_001_trimmed.fq.gz	fail	pass
018-F0_S3_L001_R2_001	pass	0.0	pass	48.7012402655	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	18592713.0	pass	pass	pass	44.0	74.4487369941	018-F0_S3_L001_R2_001_trimmed.fq.gz	fail	pass
018-F0_S3_L002_R1_001	pass	0.0	pass	48.74259087	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	18398314.0	pass	pass	pass	44.0	72.7771395225	018-F0_S3_L002_R1_001_trimmed.fq.gz	pass	pass
018-F0_S3_L002_R2_001	pass	0.0	pass	48.6870939018	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	18344855.0	pass	pass	pass	44.0	73.9299544738	018-F0_S3_L002_R2_001_trimmed.fq.gz	pass	pass
018-F0_S3_L003_R1_001	pass	0.0	pass	48.7363561207	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	18266121.0	pass	pass	pass	44.0	72.6577952312	018-F0_S3_L003_R1_001_trimmed.fq.gz	fail	pass
018-F0_S3_L003_R2_001	pass	0.0	pass	48.6926726392	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	warn	18224147.0	pass	pass	pass	44.0	73.6002282948	018-F0_S3_L003_R2_001_trimmed.fq.gz	fail	pass
