Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
001-F0_S3_L001_R1_001	pass	0.0	pass	48.4378865026	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21645392.0	pass	pass	pass	45.0	78.775189812	001-F0_S3_L001_R1_001_trimmed.fq.gz	pass	pass
001-F0_S3_L001_R2_001	pass	0.0	pass	48.3970091923	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21591893.0	pass	pass	warn	45.0	80.1545522243	001-F0_S3_L001_R2_001_trimmed.fq.gz	pass	pass
001-F0_S3_L002_R1_001	pass	0.0	pass	48.4406091602	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	20706013.0	pass	pass	pass	45.0	79.5579511214	001-F0_S3_L002_R1_001_trimmed.fq.gz	pass	pass
001-F0_S3_L002_R2_001	pass	0.0	pass	48.3895787812	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	20646702.0	pass	pass	warn	45.0	80.6984402143	001-F0_S3_L002_R2_001_trimmed.fq.gz	pass	pass
001-F0_S3_L003_R1_001	pass	0.0	pass	48.4291517529	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21838035.0	pass	pass	pass	45.0	79.6108654174	001-F0_S3_L003_R1_001_trimmed.fq.gz	pass	pass
001-F0_S3_L003_R2_001	pass	0.0	pass	48.3975660888	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	21804986.0	pass	pass	pass	45.0	80.3134234179	001-F0_S3_L003_R2_001_trimmed.fq.gz	pass	pass
001-F0_S3_L004_R1_001	pass	0.0	pass	48.4505581006	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	20553731.0	pass	pass	pass	45.0	80.0992361734	001-F0_S3_L004_R1_001_trimmed.fq.gz	pass	pass
001-F0_S3_L004_R2_001	pass	0.0	pass	48.4032048001	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	20511482.0	pass	pass	warn	45.0	80.7532794832	001-F0_S3_L004_R2_001_trimmed.fq.gz	pass	pass
001-F5_S2_L001_R1_001	pass	0.0	pass	48.6279929691	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	warn	19835988.0	pass	pass	pass	45.0	77.7022523748	001-F5_S2_L001_R1_001_trimmed.fq.gz	pass	pass
001-F5_S2_L001_R2_001	pass	0.0	pass	48.583813918	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	19783194.0	pass	pass	pass	45.0	78.9740549278	001-F5_S2_L001_R2_001_trimmed.fq.gz	pass	pass
001-F5_S2_L002_R1_001	pass	0.0	pass	48.6328138441	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	warn	18960290.0	pass	pass	pass	45.0	78.6908910881	001-F5_S2_L002_R1_001_trimmed.fq.gz	pass	pass
001-F5_S2_L002_R2_001	pass	0.0	pass	48.5784287874	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	18901274.0	pass	pass	pass	45.0	79.5172640841	001-F5_S2_L002_R2_001_trimmed.fq.gz	pass	pass
001-F5_S2_L003_R1_001	pass	0.0	pass	48.6366384153	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	warn	20041893.0	pass	pass	pass	45.0	78.3291767541	001-F5_S2_L003_R1_001_trimmed.fq.gz	pass	pass
001-F5_S2_L003_R2_001	pass	0.0	pass	48.6020578438	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	warn	20008516.0	pass	pass	pass	45.0	79.1327336239	001-F5_S2_L003_R2_001_trimmed.fq.gz	pass	pass
001-F5_S2_L004_R1_001	pass	0.0	pass	48.6480283073	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	18764080.0	pass	pass	pass	45.0	78.8505926683	001-F5_S2_L004_R1_001_trimmed.fq.gz	pass	pass
001-F5_S2_L004_R2_001	pass	0.0	pass	48.5978697516	Sanger / Illumina 1.9	fail	pass	warn	20-51	Conventional base calls	pass	pass	18722511.0	pass	pass	pass	45.0	79.7475418419	001-F5_S2_L004_R2_001_trimmed.fq.gz	pass	pass
004-F0_S5_L001_R1_001	pass	0.0	pass	48.0871329727	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15459647.0	pass	pass	pass	44.0	81.0269398938	004-F0_S5_L001_R1_001_trimmed.fq.gz	pass	pass
004-F0_S5_L001_R2_001	pass	0.0	pass	48.0415452563	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15409172.0	pass	pass	pass	44.0	82.4262386819	004-F0_S5_L001_R2_001_trimmed.fq.gz	pass	pass
004-F0_S5_L002_R1_001	pass	0.0	pass	48.101695305	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15263979.0	pass	pass	pass	44.0	81.5039621193	004-F0_S5_L002_R1_001_trimmed.fq.gz	pass	pass
004-F0_S5_L002_R2_001	pass	0.0	pass	48.0480363986	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15208280.0	pass	pass	pass	44.0	82.5758397842	004-F0_S5_L002_R2_001_trimmed.fq.gz	pass	pass
004-F0_S5_L003_R1_001	pass	0.0	pass	48.1011701135	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15522341.0	pass	pass	pass	44.0	81.6650866066	004-F0_S5_L003_R1_001_trimmed.fq.gz	pass	pass
004-F0_S5_L003_R2_001	pass	0.0	pass	48.0543389153	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15491752.0	pass	pass	pass	44.0	82.3497955244	004-F0_S5_L003_R2_001_trimmed.fq.gz	pass	pass
004-F0_S5_L004_R1_001	pass	0.0	pass	48.1144091009	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15410566.0	pass	pass	pass	44.0	81.6648293462	004-F0_S5_L004_R1_001_trimmed.fq.gz	pass	pass
004-F0_S5_L004_R2_001	pass	0.0	pass	48.05255115	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15370225.0	pass	pass	pass	44.0	82.7630237295	004-F0_S5_L004_R2_001_trimmed.fq.gz	pass	pass
004-F5_S4_L001_R1_001	pass	0.0	pass	47.9200901141	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15487483.0	pass	pass	pass	45.0	80.204926586	004-F5_S4_L001_R1_001_trimmed.fq.gz	pass	pass
004-F5_S4_L001_R2_001	pass	0.0	pass	47.8768737036	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15439675.0	pass	pass	pass	45.0	81.5975198794	004-F5_S4_L001_R2_001_trimmed.fq.gz	pass	pass
004-F5_S4_L002_R1_001	pass	0.0	pass	47.9300750024	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15259121.0	pass	pass	pass	45.0	80.5579508297	004-F5_S4_L002_R1_001_trimmed.fq.gz	pass	pass
004-F5_S4_L002_R2_001	pass	0.0	pass	47.8805349701	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15207354.0	pass	pass	pass	45.0	81.7264163457	004-F5_S4_L002_R2_001_trimmed.fq.gz	pass	pass
004-F5_S4_L003_R1_001	pass	0.0	pass	47.9215907341	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15547614.0	pass	pass	pass	45.0	80.6972921391	004-F5_S4_L003_R1_001_trimmed.fq.gz	pass	pass
004-F5_S4_L003_R2_001	pass	0.0	pass	47.8781264806	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15519007.0	pass	pass	pass	45.0	81.6464192614	004-F5_S4_L003_R2_001_trimmed.fq.gz	pass	pass
004-F5_S4_L004_R1_001	pass	0.0	pass	47.9384827128	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15407604.0	pass	pass	pass	45.0	80.5694574461	004-F5_S4_L004_R1_001_trimmed.fq.gz	pass	pass
004-F5_S4_L004_R2_001	pass	0.0	pass	47.88016661	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	15370983.0	pass	pass	pass	45.0	81.8255148208	004-F5_S4_L004_R2_001_trimmed.fq.gz	pass	pass
