Sample	FastQC_total_sequences	FastQC_avg_sequence_length	FastQC_percent_gc	FastQC_percent_fails
001-F0_S3_L001_R1_001	22236452.0	73.07158597063956	45.0	18.181818181818183
001-F0_S3_L001_R2_001	22236452.0	73.08270199760285	45.0	18.181818181818183
001-F0_S3_L002_R1_001	21270767.0	73.06842611740329	45.0	18.181818181818183
001-F0_S3_L002_R2_001	21270767.0	73.08874268614761	46.0	18.181818181818183
001-F0_S3_L003_R1_001	22430693.0	73.0652243334613	45.0	18.181818181818183
001-F0_S3_L003_R2_001	22430693.0	73.08785225672698	45.0	18.181818181818183
001-F0_S3_L004_R1_001	21110280.0	73.08248962117035	45.0	18.181818181818183
001-F0_S3_L004_R2_001	21110280.0	73.11378560587544	46.0	18.181818181818183
001-F5_S2_L001_R1_001	20276854.0	73.38656677214325	45.0	18.181818181818183
001-F5_S2_L001_R2_001	20276854.0	73.39194743918361	45.0	18.181818181818183
001-F5_S2_L002_R1_001	19379817.0	73.38627500971758	45.0	18.181818181818183
001-F5_S2_L002_R2_001	19379817.0	73.40027916672278	45.0	18.181818181818183
001-F5_S2_L003_R1_001	20476413.0	73.40865971007715	45.0	18.181818181818183
001-F5_S2_L003_R2_001	20476413.0	73.42699309688665	45.0	18.181818181818183
001-F5_S2_L004_R1_001	19172348.0	73.4127309810984	45.0	18.181818181818183
001-F5_S2_L004_R2_001	19172348.0	73.43883435664739	45.0	18.181818181818183
004-F0_S5_L001_R1_001	15736083.0	73.00120906835583	45.0	18.181818181818183
004-F0_S5_L001_R2_001	15736083.0	72.98814393645483	45.0	18.181818181818183
004-F0_S5_L002_R1_001	15530751.0	73.02518268434025	45.0	18.181818181818183
004-F0_S5_L002_R2_001	15530751.0	73.01136126643199	45.0	18.181818181818183
004-F0_S5_L003_R1_001	15788651.0	73.03854122812646	45.0	18.181818181818183
004-F0_S5_L003_R2_001	15788651.0	73.04528011924515	45.0	18.181818181818183
004-F0_S5_L004_R1_001	15671906.0	73.05287078674412	45.0	18.181818181818183
004-F0_S5_L004_R2_001	15671906.0	73.06798349862487	45.0	18.181818181818183
004-F5_S4_L001_R1_001	15788274.0	72.77898198371778	46.0	18.181818181818183
004-F5_S4_L001_R2_001	15788274.0	72.76863747107505	46.0	18.181818181818183
004-F5_S4_L002_R1_001	15551325.0	72.79593134347073	46.0	18.181818181818183
004-F5_S4_L002_R2_001	15551325.0	72.78262919719059	46.0	18.181818181818183
004-F5_S4_L003_R1_001	15844928.0	72.79403869806161	46.0	18.181818181818183
004-F5_S4_L003_R2_001	15844928.0	72.80228215615747	46.0	18.181818181818183
004-F5_S4_L004_R1_001	15698363.0	72.81400723119984	46.0	18.181818181818183
004-F5_S4_L004_R2_001	15698363.0	72.82990360205073	46.0	18.181818181818183
004-primary_S1_L001_R1_001	28053590.0	72.70877377904219	46.0	18.181818181818183
004-primary_S1_L001_R2_001	28053590.0	72.69573273866197	46.0	18.181818181818183
004-primary_S1_L002_R1_001	27703909.0	72.72999185782771	46.0	18.181818181818183
004-primary_S1_L002_R2_001	27703909.0	72.71537341535449	46.0	18.181818181818183
004-primary_S1_L003_R1_001	28156319.0	72.72930019723104	46.0	18.181818181818183
004-primary_S1_L003_R2_001	28156319.0	72.73563231045934	46.0	18.181818181818183
004-primary_S1_L004_R1_001	27952566.0	72.74998463468434	46.0	18.181818181818183
004-primary_S1_L004_R2_001	27952566.0	72.76426668664337	46.0	18.181818181818183
005-F0_S3_L001_R1_001	21307669.0	72.64569169907793	46.0	18.181818181818183
