Sample	FastQC_total_sequences	FastQC_avg_sequence_length	FastQC_percent_gc	FastQC_percent_fails
005-F0_S3_L001_R2_001	21307669.0	72.63303287656665	46.0	18.181818181818183
005-F0_S3_L002_R1_001	20995442.0	72.66434457536069	46.0	18.181818181818183
005-F0_S3_L002_R2_001	20995442.0	72.6486726023677	46.0	18.181818181818183
005-F0_S3_L003_R1_001	21471740.0	72.66754869423717	46.0	18.181818181818183
005-F0_S3_L003_R2_001	21471740.0	72.67432592794063	46.0	18.181818181818183
005-F0_S3_L004_R1_001	21228997.0	72.68358651141173	46.0	18.181818181818183
005-F0_S3_L004_R2_001	21228997.0	72.69782844662892	46.0	18.181818181818183
005-F5_S2_L001_R1_001	18168987.0	73.15056425545353	46.0	18.181818181818183
005-F5_S2_L001_R2_001	18168987.0	73.13589640413085	46.0	18.181818181818183
005-F5_S2_L002_R1_001	17961962.0	73.16293715575169	46.0	18.181818181818183
005-F5_S2_L002_R2_001	17961962.0	73.14453014653967	46.0	18.181818181818183
005-F5_S2_L003_R1_001	18273425.0	73.15768751616076	46.0	18.181818181818183
005-F5_S2_L003_R2_001	18273425.0	73.16127748355878	46.0	18.181818181818183
005-F5_S2_L004_R1_001	18146547.0	73.17172043805358	46.0	18.181818181818183
005-F5_S2_L004_R2_001	18146547.0	73.1830305236583	46.0	18.181818181818183
005-primary_S6_L001_R1_001	30996338.0	72.56379831062624	45.0	18.181818181818183
005-primary_S6_L001_R2_001	30996338.0	72.55279691426774	45.0	18.181818181818183
005-primary_S6_L002_R1_001	30560658.0	72.58283944671611	45.0	18.181818181818183
005-primary_S6_L002_R2_001	30560658.0	72.56960772899589	45.0	18.181818181818183
005-primary_S6_L003_R1_001	31193471.0	72.57901712829586	45.0	18.181818181818183
005-primary_S6_L003_R2_001	31193471.0	72.58641890157078	45.0	18.181818181818183
005-primary_S6_L004_R1_001	30898873.0	72.59310558025854	45.0	18.181818181818183
005-primary_S6_L004_R2_001	30898873.0	72.60871427252378	45.0	18.181818181818183
006-F0_S6_L001_R1_001	23361039.0	73.79260734079507	46.0	18.181818181818183
006-F0_S6_L001_R2_001	23361039.0	73.79470202502552	46.0	18.181818181818183
006-F0_S6_L002_R1_001	22342017.0	73.7922401097448	46.0	18.181818181818183
006-F0_S6_L002_R2_001	22342017.0	73.80143820497496	46.0	18.181818181818183
006-F0_S6_L003_R1_001	23554458.0	73.78408201963298	46.0	18.181818181818183
006-F0_S6_L003_R2_001	23554458.0	73.79949099232086	46.0	18.181818181818183
006-F0_S6_L004_R1_001	22170366.0	73.80316923951548	46.0	18.181818181818183
006-F0_S6_L004_R2_001	22170366.0	73.82458016254671	46.0	18.181818181818183
006-F5_S1_L001_R1_001	21702184.0	74.55114711035534	46.0	18.181818181818183
006-F5_S1_L001_R2_001	21702184.0	74.54600739722785	46.0	18.181818181818183
006-F5_S1_L002_R1_001	20799231.0	74.5510174390582	46.0	18.181818181818183
006-F5_S1_L002_R2_001	20799231.0	74.55088599189075	46.0	18.181818181818183
006-F5_S1_L003_R1_001	21865248.0	74.54392467901576	46.0	18.181818181818183
006-F5_S1_L003_R2_001	21865248.0	74.55225250589429	46.0	18.181818181818183
006-F5_S1_L004_R1_001	20663953.0	74.55575494195134	46.0	18.181818181818183
006-F5_S1_L004_R2_001	20663953.0	74.56820981929256	46.0	18.181818181818183
008-F0_S1_L001_R1_001	23148125.0	74.03324804924804	45.0	18.181818181818183
008-F0_S1_L001_R2_001	23148125.0	74.01709671949672	45.0	18.181818181818183
008-F0_S1_L002_R1_001	22853438.0	74.03051435849608	45.0	18.181818181818183
008-F0_S1_L002_R2_001	22853438.0	74.01542708803814	45.0	27.27272727272727
008-F0_S1_L003_R1_001	22658430.0	74.02659319290878	45.0	18.181818181818183
008-F0_S1_L003_R2_001	22658430.0	74.01297128706622	45.0	27.27272727272727
008-F0_S1_L004_R1_001	23331956.0	74.03481002621469	45.0	18.181818181818183
008-F0_S1_L004_R2_001	23331956.0	74.02242962398866	45.0	27.27272727272727
008-F5_S2_L001_R1_001	12925704.0	74.04524937287748	46.0	18.181818181818183
008-F5_S2_L001_R2_001	12925704.0	74.02841640192287	46.0	18.181818181818183
008-F5_S2_L002_R1_001	12771607.0	74.04341333083613	46.0	18.181818181818183
008-F5_S2_L002_R2_001	12771607.0	74.0298599072145	46.0	18.181818181818183
008-F5_S2_L003_R1_001	12689527.0	74.0450867869228	46.0	18.181818181818183
008-F5_S2_L003_R2_001	12689527.0	74.03294102293962	46.0	18.181818181818183
008-F5_S2_L004_R1_001	13029031.0	74.05048971024783	46.0	18.181818181818183
008-F5_S2_L004_R2_001	13029031.0	74.03828603984441	46.0	18.181818181818183
018-F0_S3_L001_R1_001	18743692.0	73.97073500780957	45.0	18.181818181818183
018-F0_S3_L001_R2_001	18743692.0	73.95358849259793	45.0	18.181818181818183
018-F0_S3_L002_R1_001	18504565.0	73.96798103603084	45.0	18.181818181818183
018-F0_S3_L002_R2_001	18504565.0	73.951656145389	45.0	18.181818181818183
018-F0_S3_L003_R1_001	18370655.0	73.96690215999375	45.0	18.181818181818183
018-F0_S3_L003_R2_001	18370655.0	73.95219631526476	45.0	18.181818181818183
018-F0_S3_L004_R1_001	18888104.0	73.97335148091095	45.0	18.181818181818183
018-F0_S3_L004_R2_001	18888104.0	73.95894214686662	45.0	18.181818181818183
018-F5_S4_L001_R1_001	16465535.0	73.9756465854283	46.0	18.181818181818183
018-F5_S4_L001_R2_001	16465535.0	73.95965773356286	46.0	18.181818181818183
018-F5_S4_L002_R1_001	16310276.0	73.97331265271048	46.0	18.181818181818183
018-F5_S4_L002_R2_001	16310276.0	73.95729900585373	46.0	18.181818181818183
018-F5_S4_L003_R1_001	16196058.0	73.97234425809046	46.0	18.181818181818183
018-F5_S4_L003_R2_001	16196058.0	73.95847001782779	46.0	18.181818181818183
018-F5_S4_L004_R1_001	16633939.0	73.97706947223986	46.0	18.181818181818183
018-F5_S4_L004_R2_001	16633939.0	73.96411739877126	46.0	18.181818181818183
019-F0_S5_L001_R1_001	14399255.0	73.73835764419756	45.0	18.181818181818183
019-F0_S5_L001_R2_001	14399255.0	73.72431198697433	45.0	27.27272727272727
019-F0_S5_L002_R1_001	14222640.0	73.73416025435503	45.0	18.181818181818183
019-F0_S5_L002_R2_001	14222640.0	73.72079557662994	45.0	27.27272727272727
019-F0_S5_L003_R1_001	14164749.0	73.73413958835415	45.0	18.181818181818183
019-F0_S5_L003_R2_001	14164749.0	73.72214749445966	45.0	27.27272727272727
019-F0_S5_L004_R1_001	14515035.0	73.7408230155835	45.0	18.181818181818183
019-F0_S5_L004_R2_001	14515035.0	73.73017026827699	45.0	27.27272727272727
019-F5_S6_L001_R1_001	21439600.0	73.73694112763297	45.0	18.181818181818183
019-F5_S6_L001_R2_001	21439600.0	73.72374759790294	45.0	27.27272727272727
019-F5_S6_L002_R1_001	21202010.0	73.73166945020779	45.0	18.181818181818183
019-F5_S6_L002_R2_001	21202010.0	73.71985557029734	45.0	27.27272727272727
019-F5_S6_L003_R1_001	21049170.0	73.72861143693552	45.0	18.181818181818183
019-F5_S6_L003_R2_001	21049170.0	73.71780507259906	45.0	27.27272727272727
019-F5_S6_L004_R1_001	21621635.0	73.73561305608942	45.0	18.181818181818183
019-F5_S6_L004_R2_001	21621635.0	73.72627282811868	45.0	27.27272727272727
029-F0_S5_L001_R1_001	21505603.0	73.73452095251642	45.0	18.181818181818183
029-F0_S5_L001_R2_001	21505603.0	73.73815986466411	45.0	18.181818181818183
029-F0_S5_L002_R1_001	20553818.0	73.73313945856677	45.0	18.181818181818183
029-F0_S5_L002_R2_001	20553818.0	73.74293554608687	45.0	18.181818181818183
029-F0_S5_L003_R1_001	21718396.0	73.72874097147874	45.0	18.181818181818183
029-F0_S5_L003_R2_001	21718396.0	73.74431790450824	45.0	18.181818181818183
029-F0_S5_L004_R1_001	20365374.0	73.74316258567114	45.0	18.181818181818183
029-F0_S5_L004_R2_001	20365374.0	73.76522542625537	45.0	18.181818181818183
029-F5_S4_L001_R1_001	25526433.0	73.96230052980766	46.0	18.181818181818183
029-F5_S4_L001_R2_001	25526433.0	73.9613436785312	46.0	18.181818181818183
029-F5_S4_L002_R1_001	24451762.0	73.96334325518137	46.0	18.181818181818183
029-F5_S4_L002_R2_001	24451762.0	73.96916819327785	46.0	18.181818181818183
029-F5_S4_L003_R1_001	25752762.0	73.95394991030477	46.0	18.181818181818183
029-F5_S4_L003_R2_001	25752762.0	73.96657325532695	46.0	18.181818181818183
029-F5_S4_L004_R1_001	24270625.0	73.97329203512477	46.0	18.181818181818183
029-F5_S4_L004_R2_001	24270625.0	73.99153511703963	46.0	18.181818181818183
030-F0_S1_L001_R1_001	17843664.0	74.14271188921737	44.0	27.27272727272727
030-F0_S1_L001_R2_001	17843664.0	74.15307943480666	44.0	27.27272727272727
030-F0_S1_L002_R1_001	17316627.0	74.15624168609742	44.0	27.27272727272727
030-F0_S1_L002_R2_001	17316627.0	74.17215454256767	44.0	27.27272727272727
030-F0_S1_L003_R1_001	17808848.0	74.15586168178874	44.0	27.27272727272727
030-F0_S1_L003_R2_001	17808848.0	74.16663110381985	44.0	27.27272727272727
030-F0_S1_L004_R1_001	17576945.0	74.17020227348951	44.0	27.27272727272727
030-F0_S1_L004_R2_001	17576945.0	74.1888461845901	44.0	27.27272727272727
030-F5_S6_L001_R1_001	10051347.0	73.96620622091746	43.0	27.27272727272727
030-F5_S6_L001_R2_001	10051347.0	73.97874364500599	43.0	36.36363636363637
030-F5_S6_L002_R1_001	9745851.0	73.98668992579509	43.0	27.27272727272727
030-F5_S6_L002_R2_001	9745851.0	74.00462771285956	43.0	27.27272727272727
030-F5_S6_L003_R1_001	10042431.0	73.99789991088811	43.0	27.27272727272727
030-F5_S6_L003_R2_001	10042431.0	74.01131708049574	43.0	36.36363636363637
030-F5_S6_L004_R1_001	9891157.0	74.0103194196594	43.0	27.27272727272727
030-F5_S6_L004_R2_001	9891157.0	74.02903310502502	43.0	27.27272727272727
032-F0_S5_L001_R1_001	32357517.0	74.69980239831135	45.0	18.181818181818183
032-F0_S5_L001_R2_001	32357517.0	74.7040837218752	45.0	18.181818181818183
032-F0_S5_L002_R1_001	31362874.0	74.70648321324124	45.0	18.181818181818183
032-F0_S5_L002_R2_001	31362874.0	74.7140202457211	45.0	18.181818181818183
032-F0_S5_L003_R1_001	32345184.0	74.70858619941689	45.0	18.181818181818183
032-F0_S5_L003_R2_001	32345184.0	74.71374050616005	45.0	18.181818181818183
032-F0_S5_L004_R1_001	31844996.0	74.71426289392531	45.0	18.181818181818183
032-F0_S5_L004_R2_001	31844996.0	74.72348779695247	45.0	18.181818181818183
032-F5_S3_L001_R1_001	44198442.0	74.58567663991414	45.0	18.181818181818183
032-F5_S3_L001_R2_001	44198442.0	74.59130034493072	45.0	18.181818181818183
032-F5_S3_L002_R1_001	42964679.0	74.59300494250172	45.0	18.181818181818183
032-F5_S3_L002_R2_001	42964679.0	74.60216732912167	45.0	18.181818181818183
032-F5_S3_L003_R1_001	44220892.0	74.59615993273044	45.0	18.181818181818183
032-F5_S3_L003_R2_001	44220892.0	74.60260091542251	45.0	18.181818181818183
032-F5_S3_L004_R1_001	43589240.0	74.60052441841151	45.0	18.181818181818183
032-F5_S3_L004_R2_001	43589240.0	74.61137840439521	45.0	18.181818181818183
040-F0_S2_L001_R1_001	13579647.0	74.48790237330911	44.0	27.27272727272727
040-F0_S2_L001_R2_001	13579647.0	74.49419289028647	44.0	27.27272727272727
040-F0_S2_L002_R1_001	13144519.0	74.49373316741374	44.0	27.27272727272727
040-F0_S2_L002_R2_001	13144519.0	74.50326345148119	44.0	27.27272727272727
040-F0_S2_L003_R1_001	13597867.0	74.49938788193766	44.0	27.27272727272727
040-F0_S2_L003_R2_001	13597867.0	74.50592515723238	44.0	27.27272727272727
040-F0_S2_L004_R1_001	13350155.0	74.50477234159453	44.0	27.27272727272727
040-F0_S2_L004_R2_001	13350155.0	74.51538173152296	44.0	27.27272727272727
040-F5_S4_L001_R1_001	18865477.0	74.40480465985567	44.0	27.27272727272727
040-F5_S4_L001_R2_001	18865477.0	74.41153886541008	44.0	27.27272727272727
040-F5_S4_L002_R1_001	18304881.0	74.4108432608767	44.0	27.27272727272727
040-F5_S4_L002_R2_001	18304881.0	74.42184863152075	44.0	27.27272727272727
040-F5_S4_L003_R1_001	18858272.0	74.41416779861909	44.0	27.27272727272727
040-F5_S4_L003_R2_001	18858272.0	74.42142005375678	44.0	27.27272727272727
040-F5_S4_L004_R1_001	18578734.0	74.42176081534942	44.0	27.27272727272727
040-F5_S4_L004_R2_001	18578734.0	74.43455996517308	44.0	27.27272727272727
KS25_S6_L001_R1_001	14743811.0	73.29294264556158	46.0	18.181818181818183
KS25_S6_L001_R2_001	14743811.0	73.31030966145727	46.0	27.27272727272727
KS25_S6_L002_R1_001	14444830.0	73.32663118915211	46.0	18.181818181818183
KS25_S6_L002_R2_001	14444830.0	73.3484149692312	46.0	27.27272727272727
KS25_S6_L003_R1_001	14626331.0	73.32319923567982	46.0	18.181818181818183
KS25_S6_L003_R2_001	14626331.0	73.33494250882194	46.0	27.27272727272727
KS25_S6_L004_R1_001	14601136.0	73.3524548363908	46.0	18.181818181818183
KS25_S6_L004_R2_001	14601136.0	73.37122125292169	46.0	27.27272727272727
KS26_S5_L001_R1_001	20759249.0	73.93050553033012	46.0	18.181818181818183
KS26_S5_L001_R2_001	20759249.0	73.9429434561915	46.0	18.181818181818183
KS26_S5_L002_R1_001	20435296.0	73.9513692877265	46.0	18.181818181818183
KS26_S5_L002_R2_001	20435296.0	73.96868609096731	46.0	18.181818181818183
KS26_S5_L003_R1_001	20682161.0	73.9547640597131	46.0	18.181818181818183
KS26_S5_L003_R2_001	20682161.0	73.9628108977587	46.0	18.181818181818183
KS26_S5_L004_R1_001	20718475.0	73.97341599707508	46.0	18.181818181818183
KS26_S5_L004_R2_001	20718475.0	73.98627616173488	46.0	18.181818181818183
KS27_S1_L001_R1_001	20074505.0	73.89897947670441	45.0	18.181818181818183
KS27_S1_L001_R2_001	20074505.0	73.91086893549803	45.0	18.181818181818183
KS27_S1_L002_R1_001	19665966.0	73.91159625720903	45.0	18.181818181818183
KS27_S1_L002_R2_001	19665966.0	73.92802240174726	45.0	18.181818181818183
KS27_S1_L003_R1_001	19938679.0	73.91498749741645	45.0	18.181818181818183
KS27_S1_L003_R2_001	19938679.0	73.92227885307747	45.0	18.181818181818183
KS27_S1_L004_R1_001	19933865.0	73.92803372552187	45.0	18.181818181818183
KS27_S1_L004_R2_001	19933865.0	73.94096904940412	45.0	18.181818181818183
KS28_S3_L001_R1_001	23603567.0	73.98712215827379	45.0	18.181818181818183
KS28_S3_L001_R2_001	23603567.0	73.99916025404126	45.0	18.181818181818183
KS28_S3_L002_R1_001	23151097.0	73.99659804457646	45.0	18.181818181818183
KS28_S3_L002_R2_001	23151097.0	74.01280142362153	45.0	18.181818181818183
KS28_S3_L003_R1_001	23507213.0	74.00142496688144	45.0	18.181818181818183
KS28_S3_L003_R2_001	23507213.0	74.00828928550568	45.0	18.181818181818183
KS28_S3_L004_R1_001	23445614.0	74.00942624066062	45.0	18.181818181818183
KS28_S3_L004_R2_001	23445614.0	74.0212776683946	45.0	18.181818181818183
KS29_S2_L001_R1_001	19903245.0	73.98746616443701	45.0	18.181818181818183
KS29_S2_L001_R2_001	19903245.0	73.99963372806796	45.0	18.181818181818183
KS29_S2_L002_R1_001	19494884.0	73.99716130652534	45.0	18.181818181818183
KS29_S2_L002_R2_001	19494884.0	74.01282803221604	45.0	18.181818181818183
KS29_S2_L003_R1_001	19831127.0	74.00207139009296	45.0	18.181818181818183
KS29_S2_L003_R2_001	19831127.0	74.00907013504577	45.0	18.181818181818183
KS29_S2_L004_R1_001	19797994.0	74.01077912236967	45.0	18.181818181818183
KS29_S2_L004_R2_001	19797994.0	74.02254480933776	45.0	18.181818181818183
KS30_S4_L001_R1_001	25364427.0	73.89101322888153	45.0	18.181818181818183
KS30_S4_L001_R2_001	25364427.0	73.90370210216064	45.0	18.181818181818183
KS30_S4_L002_R1_001	24865816.0	73.90183953745978	45.0	18.181818181818183
KS30_S4_L002_R2_001	24865816.0	73.91867204357983	45.0	18.181818181818183
KS30_S4_L003_R1_001	25206988.0	73.90471225677578	45.0	18.181818181818183
KS30_S4_L003_R2_001	25206988.0	73.91242198393556	45.0	18.181818181818183
KS30_S4_L004_R1_001	25171048.0	73.91441516459705	45.0	18.181818181818183
KS30_S4_L004_R2_001	25171048.0	73.92660778367274	45.0	18.181818181818183
