	sample	human	mouse	ambiguous	base_sample	lane	human_percent	mouse_percent	ambig_percent
0	008-M1-F0_S3_L001_001	16462539	2197374	40841	008-M1-F0	L001	88.0	11.8	0.2
0	029-F0_S5_L004_001	16018400	4208045	56281	029-F0	L004	79.0	20.7	0.3
0	004-M_S1_L003_001	27982301	15379	74792	004-M	L003	99.7	0.1	0.3
0	004-M-F0_S5_L001_001	11253572	4355275	51383	004-M-F0	L001	71.9	27.8	0.3
0	008-F0_S1_L004_001	20584771	2632022	51011	008-F0	L004	88.5	11.3	0.2
0	008-F5_S2_L003_001	11223956	1414840	24548	008-F5	L003	88.6	11.2	0.2
0	029-F5_S4_L002_001	23380216	915011	53262	029-F5	L002	96.0	3.8	0.2
0	008-M1-F5_S4_L001_001	13180423	3209979	37969	008-M1-F5	L001	80.2	19.5	0.2
0	004-M-F0_S5_L004_001	11219243	4342984	50823	004-M-F0	L004	71.9	27.8	0.3
0	008-ORTH-M_S6_L002_001	11354816	3012686	36753	008-ORTH-M	L002	78.8	20.9	0.3
0	006-F0_S6_L002_001	19146054	3035134	61585	006-F0	L002	86.1	13.6	0.3
0	048-M1-F0_S2_L001_001	17463754	2380616	32284	048-M1-F0	L001	87.9	12.0	0.2
0	030-F0_S1_L003_001	8965296	8714316	73164	030-F0	L003	50.5	49.1	0.4
0	048-F5_S3_L002_001	21399508	1674842	36520	048-F5	L002	92.6	7.2	0.2
0	008-F0_S1_L001_001	20424951	2611470	49696	008-F0	L001	88.5	11.3	0.2
0	048-F0_S1_L004_001	18447344	1409746	34574	048-F0	L004	92.7	7.1	0.2
0	008-M1-F5_S4_L003_001	12971913	3152618	38364	008-M1-F5	L003	80.3	19.5	0.2
0	032-F0_S5_L003_001	28994844	3222794	79467	032-F0	L003	89.8	10.0	0.2
0	001-F0_S3_L004_001	17318182	3621767	67796	001-F0	L004	82.4	17.2	0.3
0	006-F5_S1_L004_001	17176111	3378977	45041	006-F5	L004	83.4	16.4	0.2
0	008-M2-F5_S6_L002_001	18141395	2937338	54101	008-M2-F5	L002	85.8	13.9	0.3
0	008-M2-F5_S6_L003_001	18022283	2912928	53976	008-M2-F5	L003	85.9	13.9	0.3
0	032-F5_S3_L001_001	43747284	272348	107611	032-F5	L001	99.1	0.6	0.2
0	029-F5_S4_L001_001	24410845	955842	54705	029-F5	L001	96.0	3.8	0.2
0	048-F5_S3_L001_001	21823022	1710092	36887	048-F5	L001	92.6	7.3	0.2
0	048-M1-F5_S4_L001_001	23794318	1489918	43156	048-M1-F5	L001	93.9	5.9	0.2
0	029-F5_S4_L003_001	24649694	964011	56160	029-F5	L003	96.0	3.8	0.2
0	001-F5_S2_L003_001	18086749	2258214	56221	001-F5	L003	88.7	11.1	0.3
0	006-F5_S1_L003_001	18174197	3580473	48466	006-F5	L003	83.4	16.4	0.2
0	029-F0_S5_L003_001	17081774	4492618	60923	029-F0	L003	79.0	20.8	0.3
0	008-M2-F0_S5_L004_001	9788031	4645757	42676	008-M2-F0	L004	67.6	32.1	0.3
0	032-F0_S5_L001_001	29002874	3224435	80487	032-F0	L001	89.8	10.0	0.2
