	sample	human	mouse	ambiguous	base_sample	lane	human_percent	mouse_percent	ambig_percent
0	008-ORTH_S5_L003_001	18320832	2296158	38238	008-ORTH	L003	88.7	11.1	0.2
0	032-F0_S5_L004_001	28537372	3174873	77097	032-F0	L004	89.8	10.0	0.2
0	001-F5_S2_L004_001	16929739	2115028	52106	001-F5	L004	88.7	11.1	0.3
0	008-ORTH_S5_L001_001	18387407	2306769	37039	008-ORTH	L001	88.7	11.1	0.2
0	008-M1-F5_S4_L002_001	13055557	3175347	39051	008-M1-F5	L002	80.2	19.5	0.2
0	005-M-F5_S2_L003_001	14702957	3461747	54597	005-M-F5	L003	80.7	19.0	0.3
0	008-F0_S1_L003_001	19998720	2550449	50771	008-F0	L003	88.5	11.3	0.2
0	032-F0_S5_L002_001	28105388	3125638	78968	032-F0	L002	89.8	10.0	0.3
0	030-F0_S1_L004_001	8840956	8605655	70897	030-F0	L004	50.5	49.1	0.4
0	029-F0_S5_L002_001	16151581	4245616	57219	029-F0	L002	79.0	20.8	0.3
0	040-F5_S4_L004_001	15199216	3289332	48313	040-F5	L004	82.0	17.7	0.3
0	004-M-F5_S4_L002_001	12223688	3198865	53252	004-M-F5	L002	79.0	20.7	0.3
0	032-F5_S3_L003_001	43775129	271799	105078	032-F5	L003	99.1	0.6	0.2
0	040-F0_S2_L001_001	8387245	5121215	42107	040-F0	L001	61.9	37.8	0.3
0	032-F5_S3_L002_001	42520150	263487	104824	032-F5	L002	99.1	0.6	0.2
0	030-F5_S6_L004_001	5213461	4612623	37234	030-F5	L004	52.9	46.8	0.4
0	001-F0_S3_L003_001	18405320	3850028	72992	001-F0	L003	82.4	17.2	0.3
0	005-M_S6_L001_001	30744262	18390	82170	005-M	L001	99.7	0.1	0.3
0	048-M1-F0_S2_L003_001	17401625	2369823	33193	048-M1-F0	L003	87.9	12.0	0.2
0	004-M-F5_S4_L001_001	12411904	3250207	53183	004-M-F5	L001	79.0	20.7	0.3
0	005-M-F5_S2_L001_001	14591351	3448869	52941	005-M-F5	L001	80.6	19.1	0.3
0	008-M1-F0_S3_L002_001	16244101	2170632	42823	008-M1-F0	L002	88.0	11.8	0.2
0	029-F5_S4_L004_001	23225063	907835	52478	029-F5	L004	96.0	3.8	0.2
0	040-F0_S2_L003_001	8400931	5127003	41617	040-F0	L003	61.9	37.8	0.3
0	048-M1-F5_S4_L004_001	23602804	1475994	44739	048-M1-F5	L004	93.9	5.9	0.2
0	030-F0_S1_L001_001	8971159	8740712	74004	030-F0	L001	50.4	49.1	0.4
0	048-F0_S1_L003_001	18460287	1409957	34527	048-F0	L003	92.7	7.1	0.2
0	005-M-F0_S3_L003_001	18909992	2434204	59763	005-M-F0	L003	88.3	11.4	0.3
0	008-ORTH_S5_L004_001	18344776	2300664	38452	008-ORTH	L004	88.7	11.1	0.2
0	001-F0_S3_L001_001	18231275	3812326	70923	001-F0	L001	82.4	17.2	0.3
0	030-F5_S6_L003_001	5297219	4681134	38011	030-F5	L003	52.9	46.7	0.4
0	048-F5_S3_L003_001	21732403	1702127	38596	048-F5	L003	92.6	7.3	0.2
0	040-F5_S4_L003_001	15433055	3337723	49670	040-F5	L003	82.0	17.7	0.3
0	030-F5_S6_L001_001	5297482	4687988	38871	030-F5	L001	52.8	46.8	0.4
0	040-F5_S4_L001_001	15432190	3344087	50513	040-F5	L001	82.0	17.8	0.3
0	030-F0_S1_L002_001	8713321	8473651	71324	030-F0	L002	50.5	49.1	0.4
0	008-ORTH_S5_L002_001	18098751	2268332	36707	008-ORTH	L002	88.7	11.1	0.2
0	006-F0_S6_L003_001	20205250	3201631	65553	006-F0	L003	86.1	13.6	0.3
0	006-F0_S6_L004_001	19013455	3014239	61200	006-F0	L004	86.1	13.6	0.3
0	005-M_S6_L004_001	30676189	18248	82758	005-M	L004	99.7	0.1	0.3
0	004-M_S1_L001_001	27846084	15969	72890	004-M	L001	99.7	0.1	0.3
0	040-F0_S2_L004_001	8240917	5037708	40476	040-F0	L004	61.9	37.8	0.3
0	008-M2-F0_S5_L001_001	9714047	4604514	41735	008-M2-F0	L001	67.6	32.1	0.3
0	001-F0_S3_L002_001	17438679	3644464	68587	001-F0	L002	82.4	17.2	0.3
0	048-F0_S1_L002_001	18202915	1391106	32829	048-F0	L002	92.7	7.1	0.2
0	001-F5_S2_L001_001	17891340	2236102	55417	001-F5	L001	88.6	11.1	0.3
0	005-M-F5_S2_L002_001	14424133	3405883	53003	005-M-F5	L002	80.7	19.0	0.3
0	004-M-F0_S5_L003_001	11313053	4369550	51479	004-M-F0	L003	71.9	27.8	0.3
0	005-M-F0_S3_L004_001	18690988	2407050	59238	005-M-F0	L004	88.3	11.4	0.3
0	008-M1-F5_S4_L004_001	13312897	3245556	39087	008-M1-F5	L004	80.2	19.6	0.2
0	008-M2-F0_S5_L003_001	9560785	4526665	42043	008-M2-F0	L003	67.7	32.0	0.3
0	005-M-F5_S2_L004_001	14587712	3447506	53003	005-M-F5	L004	80.6	19.1	0.3
0	040-F5_S4_L002_001	14972520	3242896	48965	040-F5	L002	82.0	17.8	0.3
0	005-M-F0_S3_L001_001	18740115	2415606	58603	005-M-F0	L001	88.3	11.4	0.3
0	006-F5_S1_L001_001	18027087	3546832	47272	006-F5	L001	83.4	16.4	0.2
0	008-M2-F5_S6_L004_001	18500041	3002182	54281	008-M2-F5	L004	85.8	13.9	0.3
0	048-F0_S1_L001_001	18584344	1422496	33210	048-F0	L001	92.7	7.1	0.2
0	004-M-F5_S4_L004_001	12352380	3235838	53001	004-M-F5	L004	79.0	20.7	0.3
0	004-M_S1_L004_001	27772405	15611	73210	004-M	L004	99.7	0.1	0.3
0	048-M1-F0_S2_L004_001	17364380	2366486	32887	048-M1-F0	L004	87.9	12.0	0.2
0	008-M1-F0_S3_L003_001	16139660	2150244	41794	008-M1-F0	L003	88.0	11.7	0.2
0	005-M-F0_S3_L002_001	18461457	2380095	58179	005-M-F0	L002	88.3	11.4	0.3
0	048-M1-F5_S4_L003_001	23644626	1480353	45556	048-M1-F5	L003	93.9	5.9	0.2
0	004-M-F5_S4_L003_001	12473339	3263486	54647	004-M-F5	L003	79.0	20.7	0.3
0	004-M-F0_S5_L002_001	11104654	4297259	50672	004-M-F0	L002	71.9	27.8	0.3
0	006-F5_S1_L002_001	17276071	3398090	45426	006-F5	L002	83.4	16.4	0.2
0	048-M1-F0_S2_L002_001	17104370	2327854	31843	048-M1-F0	L002	87.9	12.0	0.2
0	005-M_S6_L002_001	30303665	18444	82374	005-M	L002	99.7	0.1	0.3
0	008-F5_S2_L002_001	11290363	1423837	25137	008-F5	L002	88.6	11.2	0.2
0	004-M_S1_L002_001	27490302	15962	72756	004-M	L002	99.7	0.1	0.3
0	008-ORTH-M_S6_L003_001	11493671	3057513	38167	008-ORTH-M	L003	78.8	21.0	0.3
0	008-F0_S1_L002_001	20157677	2574408	51385	008-F0	L002	88.5	11.3	0.2
0	001-F5_S2_L002_001	17099941	2134827	52980	001-F5	L002	88.7	11.1	0.3
0	008-F5_S2_L001_001	11430487	1442152	24189	008-F5	L001	88.6	11.2	0.2
0	008-M2-F0_S5_L002_001	9591721	4546660	42235	008-M2-F0	L002	67.6	32.1	0.3
0	008-M2-F5_S6_L001_001	18350435	2974355	51794	008-M2-F5	L001	85.8	13.9	0.2
0	040-F0_S2_L002_001	8119987	4954147	40874	040-F0	L002	61.9	37.8	0.3
0	048-M1-F5_S4_L002_001	23322940	1456345	43059	048-M1-F5	L002	94.0	5.9	0.2
0	008-ORTH-M_S6_L004_001	11472674	3048209	37416	008-ORTH-M	L004	78.8	20.9	0.3
0	008-F5_S2_L004_001	11519175	1455631	25025	008-F5	L004	88.6	11.2	0.2
0	005-M_S6_L003_001	30976495	18451	84793	005-M	L003	99.7	0.1	0.3
0	030-F5_S6_L002_001	5139356	4541735	37361	030-F5	L002	52.9	46.7	0.4
0	008-M1-F0_S3_L004_001	16586947	2215194	42822	008-M1-F0	L004	88.0	11.8	0.2
0	032-F5_S3_L004_001	43139879	267547	101597	032-F5	L004	99.2	0.6	0.2
0	006-F0_S6_L001_001	20022681	3172255	63469	006-F0	L001	86.1	13.6	0.3
0	008-ORTH-M_S6_L001_001	11587440	3081112	37307	008-ORTH-M	L001	78.8	21.0	0.3
0	029-F0_S5_L001_001	16901980	4441896	59305	029-F0	L001	79.0	20.8	0.3
0	048-F5_S3_L004_001	21669673	1695052	38260	048-F5	L004	92.6	7.2	0.2
