	UTR3	UTR5	UTR5;UTR3	downstream	exonic	exonic;splicing	intergenic	intronic	ncRNA_exonic	ncRNA_exonic;splicing	ncRNA_intronic	ncRNA_splicing	splicing	upstream	upstream;downstream
001-F0_S3_L001_001	192	125	0	46	1111	1	2450	5074	335	0	537	1	10	52	3
001-F0_S3_L002_001	191	101	0	43	1063	0	2354	4850	322	0	513	2	8	58	2
001-F0_S3_L003_001	209	109	0	50	1102	1	2463	5093	331	0	526	3	9	58	3
001-F0_S3_L004_001	191	118	0	48	1063	1	2381	4816	303	0	521	2	11	57	2
001-F5_S2_L001_001	202	112	0	47	1091	1	2404	4860	326	0	541	2	11	55	5
001-F5_S2_L002_001	179	105	0	43	1059	1	2278	4648	300	0	501	2	13	53	2
001-F5_S2_L003_001	206	123	0	44	1079	2	2439	4946	324	0	519	2	9	47	3
001-F5_S2_L004_001	187	107	0	49	1066	1	2302	4584	318	0	514	2	10	50	2
004-F0_S5_L001_001	110	60	0	26	871	1	1739	2935	243	0	367	0	5	28	0
004-F0_S5_L002_001	111	60	0	27	852	2	1646	2852	240	0	341	0	5	22	0
004-F0_S5_L003_001	114	66	0	31	858	3	1675	2946	244	0	355	0	5	26	0
004-F0_S5_L004_001	109	62	0	34	845	2	1703	2932	247	0	346	0	5	25	0
004-F5_S4_L001_001	134	65	0	28	907	3	1747	3089	263	0	376	0	7	22	1
004-F5_S4_L002_001	131	61	0	33	919	2	1744	2997	255	0	375	1	4	25	0
004-F5_S4_L003_001	121	67	0	34	909	2	1793	3084	266	0	349	1	5	28	1
004-F5_S4_L004_001	132	60	0	30	909	2	1770	3091	268	0	351	0	4	24	0
004-primary_S1_L001_001	314	168	1	61	1311	4	3268	7708	419	0	766	1	10	86	2
004-primary_S1_L002_001	301	168	1	70	1334	4	3245	7690	422	0	786	1	11	85	5
004-primary_S1_L003_001	312	170	1	62	1326	3	3270	7689	414	0	792	0	8	93	2
004-primary_S1_L004_001	308	167	0	60	1308	4	3287	7746	418	0	786	0	10	92	4
005-F0_S3_L001_001	186	101	0	48	1141	1	2461	4724	328	0	522	1	8	70	2
005-F0_S3_L002_001	201	105	1	52	1121	1	2470	4656	339	0	518	3	10	62	5
005-F0_S3_L003_001	200	107	1	49	1129	1	2439	4740	348	0	528	1	5	69	1
005-F0_S3_L004_001	196	112	1	44	1127	1	2430	4670	339	0	498	3	8	64	1
005-F5_S2_L001_001	187	93	1	38	1011	1	2090	4148	294	0	447	2	3	52	2
005-F5_S2_L002_001	171	103	1	37	1020	1	2047	4048	307	1	428	2	5	53	2
005-F5_S2_L003_001	166	96	1	36	1028	2	2094	4135	303	0	460	1	8	43	1
005-F5_S2_L004_001	179	99	1	37	1029	0	2108	4087	297	0	449	1	7	60	0
005-primary_S6_L001_001	348	186	2	58	1367	1	3360	8216	431	0	788	3	9	103	4
005-primary_S6_L002_001	336	177	1	71	1372	1	3367	8143	437	0	792	4	9	88	6
005-primary_S6_L003_001	338	186	2	65	1391	1	3426	8284	430	0	805	4	11	105	5
005-primary_S6_L004_001	339	190	2	67	1401	1	3381	8152	448	0	785	3	10	97	2
006-F0_S6_L001_001	274	148	0	48	1068	1	2925	6923	367	0	670	0	6	71	4
006-F0_S6_L002_001	260	123	0	44	1074	1	2781	6499	381	0	652	0	9	67	3
006-F0_S6_L003_001	280	139	0	52	1084	1	2883	6953	371	0	659	2	10	76	5
006-F0_S6_L004_001	254	123	0	50	1068	1	2798	6598	358	0	633	1	8	73	5
006-F5_S1_L001_001	298	132	0	51	1006	1	2756	7129	387	0	681	1	7	81	4
006-F5_S1_L002_001	248	130	1	54	979	1	2651	6736	365	0	654	0	9	68	3
006-F5_S1_L003_001	292	148	0	57	1006	2	2776	7112	358	0	682	0	10	83	6
006-F5_S1_L004_001	276	111	0	51	983	1	2684	6717	363	0	648	2	7	79	7
008-F0_S1_L001_001	339	173	0	58	1165	1	2837	7932	380	0	743	1	9	92	7
008-F0_S1_L002_001	330	167	0	54	1162	2	2764	7726	361	0	759	1	8	88	5
008-F0_S1_L003_001	330	161	0	54	1177	2	2827	7689	371	0	733	1	11	86	6
008-F0_S1_L004_001	322	160	0	60	1173	2	2804	7999	374	0	774	1	10	92	4
008-F5_S2_L001_001	149	86	0	30	905	1	1847	3697	267	0	411	3	11	37	3
008-F5_S2_L002_001	141	77	0	34	929	0	1839	3573	253	0	405	2	8	32	0
008-F5_S2_L003_001	137	80	0	32	919	1	1805	3607	258	0	410	1	6	40	2
008-F5_S2_L004_001	146	81	0	33	929	1	1877	3722	254	0	439	3	5	38	2
018-F0_S3_L001_001	248	126	0	42	1056	1	2424	6063	334	0	613	1	10	67	3
018-F0_S3_L002_001	226	130	0	46	1060	1	2397	5955	320	0	621	3	14	70	3
018-F0_S3_L003_001	231	131	0	45	1068	1	2403	5891	307	0	591	1	10	62	4
018-F0_S3_L004_001	241	119	0	45	1082	1	2428	6067	329	0	617	1	10	68	2
018-F5_S4_L001_001	160	109	0	39	991	1	1997	4214	289	0	458	1	6	52	3
018-F5_S4_L002_001	171	96	0	40	1000	1	2024	4180	291	0	456	1	6	53	2
018-F5_S4_L003_001	160	99	0	37	969	1	2007	4143	278	0	463	1	7	47	3
018-F5_S4_L004_001	178	101	0	34	967	1	2044	4194	266	0	500	1	6	44	4
019-F0_S5_L001_001	113	65	1	28	867	1	1441	2635	229	0	314	1	5	28	1
019-F0_S5_L002_001	110	61	0	26	857	1	1434	2637	217	0	310	4	6	33	2
019-F0_S5_L003_001	110	64	0	28	840	1	1451	2541	223	0	306	1	8	26	3
019-F0_S5_L004_001	106	58	0	22	839	1	1473	2650	224	0	308	1	6	22	0
019-F5_S6_L001_001	289	136	0	49	1101	2	2473	6397	339	0	619	1	9	76	3
019-F5_S6_L002_001	267	139	0	46	1098	2	2455	6275	336	0	635	3	9	70	4
019-F5_S6_L003_001	276	128	0	42	1104	2	2422	6166	341	0	630	1	12	76	3
019-F5_S6_L004_001	279	143	0	51	1103	2	2512	6289	322	0	644	1	11	75	5
029-F0_S5_L001_001	220	100	1	46	1000	1	2389	5521	338	0	563	3	9	54	2
029-F0_S5_L002_001	207	98	1	43	994	2	2335	5259	314	0	523	2	9	52	2
029-F0_S5_L003_001	205	110	1	46	1043	2	2398	5600	356	0	558	3	6	62	2
029-F0_S5_L004_001	207	95	1	45	993	2	2301	5199	332	0	554	2	6	58	3
029-F5_S4_L001_001	327	158	1	66	1175	2	3143	8554	424	0	802	2	13	95	7
029-F5_S4_L002_001	316	173	1	75	1194	2	3035	8168	421	0	784	4	9	97	8
029-F5_S4_L003_001	338	175	1	72	1207	2	3186	8606	430	0	785	4	9	105	7
029-F5_S4_L004_001	317	167	1	66	1168	1	2988	8147	404	0	752	3	11	94	6
030-F0_S1_L001_001	80	46	0	23	826	3	1363	2160	178	0	263	0	6	24	4
030-F0_S1_L002_001	98	36	0	26	822	3	1306	2078	180	0	246	0	4	23	2
030-F0_S1_L003_001	85	40	0	22	828	3	1335	2153	188	0	260	0	4	17	2
030-F0_S1_L004_001	82	48	0	21	797	3	1344	2047	178	0	234	0	3	23	3
030-F5_S6_L001_001	39	17	0	11	506	2	685	838	114	0	119	0	1	11	1
030-F5_S6_L002_001	38	17	0	7	471	2	655	766	94	0	112	0	0	13	1
030-F5_S6_L003_001	44	16	0	6	499	1	680	818	105	0	117	0	0	15	1
030-F5_S6_L004_001	38	18	0	10	483	1	661	800	92	0	126	1	0	14	1
032-F0_S5_L001_001	359	214	1	78	1280	2	3427	8980	391	0	828	1	3	127	9
032-F0_S5_L002_001	331	195	1	72	1275	2	3465	8662	408	0	813	1	5	118	11
032-F0_S5_L003_001	345	201	1	76	1266	2	3529	9001	407	0	821	1	6	115	6
032-F0_S5_L004_001	354	207	1	67	1257	2	3451	8778	415	0	825	1	2	129	8
032-F5_S3_L001_001	495	286	1	105	1403	2	4422	12232	478	0	1091	2	6	165	12
032-F5_S3_L002_001	500	281	1	92	1361	2	4361	12046	474	0	1082	1	8	165	9
032-F5_S3_L003_001	492	282	2	109	1381	2	4381	12309	489	0	1098	1	6	170	13
032-F5_S3_L004_001	486	284	1	104	1396	1	4316	12205	486	0	1062	1	8	165	14
040-F0_S2_L001_001	71	46	0	26	582	2	1193	1964	173	0	248	0	4	15	0
040-F0_S2_L002_001	74	42	1	28	552	2	1183	1982	195	0	217	0	5	14	0
040-F0_S2_L003_001	77	44	0	28	571	2	1184	1998	191	0	228	0	7	11	0
040-F0_S2_L004_001	63	34	1	20	559	2	1197	1940	177	0	225	1	3	13	0
040-F5_S4_L001_001	158	99	1	44	822	2	2076	4281	272	0	459	0	8	43	0
040-F5_S4_L002_001	161	102	1	39	799	2	2003	4169	263	0	427	0	11	33	0
040-F5_S4_L003_001	161	95	1	43	818	2	2022	4340	292	0	443	0	7	39	1
040-F5_S4_L004_001	152	97	1	44	799	2	1995	4261	286	0	427	0	6	39	1
KS25_S6_L001_001	132	96	0	29	929	1	1569	3280	252	0	349	1	8	41	0
KS25_S6_L002_001	126	90	0	24	926	1	1561	3190	228	0	376	0	8	31	3
KS25_S6_L003_001	129	90	0	31	936	1	1586	3263	234	0	353	3	9	38	1
KS25_S6_L004_001	130	88	0	33	917	1	1548	3242	256	0	369	0	7	35	3
KS26_S5_L001_001	262	137	0	55	1151	2	2641	6286	350	0	642	1	9	66	4
KS26_S5_L002_001	261	144	0	47	1118	1	2736	6232	351	0	640	1	11	72	5
KS26_S5_L003_001	260	151	0	50	1136	2	2719	6206	363	0	636	1	13	72	6
KS26_S5_L004_001	263	142	0	48	1160	2	2693	6276	361	0	658	2	11	79	3
KS27_S1_L001_001	286	172	0	62	1095	2	2839	7461	381	0	711	2	8	77	7
KS27_S1_L002_001	287	159	1	54	1124	1	2797	7276	373	0	678	3	8	89	5
KS27_S1_L003_001	295	178	1	55	1129	2	2840	7408	374	0	678	1	10	75	6
KS27_S1_L004_001	296	175	1	57	1138	1	2872	7402	374	0	677	1	9	87	8
KS28_S3_L001_001	319	192	0	58	1168	1	3100	8133	379	0	753	2	7	91	7
KS28_S3_L002_001	304	193	1	56	1186	2	3039	7861	383	0	733	1	11	89	7
KS28_S3_L003_001	314	196	0	55	1183	2	3076	7930	398	0	752	0	8	93	6
KS28_S3_L004_001	326	191	0	60	1155	2	3076	7993	384	0	715	0	7	97	7
KS29_S2_L001_001	209	131	0	47	945	2	2420	5303	331	0	523	1	7	72	6
KS29_S2_L002_001	227	128	0	47	940	1	2498	5180	325	0	538	2	9	64	6
KS29_S2_L003_001	223	123	0	49	923	2	2528	5161	333	0	520	1	7	61	5
KS29_S2_L004_001	220	117	1	48	941	2	2494	5267	335	0	524	1	5	63	4
KS30_S4_L001_001	344	181	0	63	1025	2	3039	7767	396	0	739	0	8	108	5
KS30_S4_L002_001	332	161	0	71	1021	2	2986	7663	397	0	736	1	8	90	6
KS30_S4_L003_001	326	172	0	64	1020	2	3072	7715	397	0	750	0	8	83	6
KS30_S4_L004_001	327	188	0	60	1006	2	3016	7667	386	0	722	1	10	98	7
