Case.ID	KRAS	MARF1	TSPYL1	OR11G2	MUC4;MUC4	ARHGEF11;ETV3L	DNHD1	LCE4A	NCOR2	BRCA1	CA8	SNAP47	RYR3	DCC	PPP1R3A	JCAD	PTEN	FAM161B	TP53	IDH1	WDR62	OR10Z1	SGK494	SMAD4	FNIP2	CNTRL	ZNF780B	STEAP2	CCDC180	LAMC2	RNF123	KRTAP9-2	LINC01242;LINC01243	UBL3	ANO6	ZNF679	CDH18	CLK2P1	SS18L1	EP400	C19orf33	CGB8	LAMA1	DIAPH3	CD34	SHCBP1	OR5M10	DDX1	MX2	FGF6
005-F5	MUT;	MUT;	MUT;			MUT;	MUT;	MUT;	MUT;								MUT;				MUT;																MUT;				MUT;							MUT;		
019-F0	MUT;	MUT;	MUT;		MUT;						MUT;	MUT;	MUT;	MUT;	MUT;	MUT;				MUT;		MUT;	MUT;		MUT;		MUT;		MUT;	MUT;	MUT;	MUT;			MUT;	MUT;		MUT;	MUT;	MUT;			MUT;						MUT;	MUT;
KS29	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;							MUT;					MUT;									MUT;				MUT;					MUT;				MUT;				
KS28_F3	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;							MUT;					MUT;				MUT;					MUT;				MUT;									MUT;				
005-F0	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;						MUT;				MUT;																MUT;				MUT;							MUT;		
006-F5	MUT;			MUT;	MUT;		MUT;										MUT;		MUT;										MUT;				MUT;																	
040-F5	MUT;		MUT;		MUT;	MUT;				MUT;									MUT;																															
008-F0	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;			MUT;	MUT;		MUT;	MUT;		MUT;		MUT;		MUT;	MUT;		MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;				MUT;	MUT;			MUT;	MUT;	MUT;	MUT;		MUT;		MUT;	MUT;
KS30	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;							MUT;					MUT;									MUT;				MUT;									MUT;				
005-primary	MUT;		MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;			MUT;			MUT;				MUT;																MUT;				MUT;	MUT;						MUT;		
004-primary		MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;	MUT;				MUT;							MUT;			MUT;																	MUT;					MUT;				
030-F5	MUT;	MUT;																																																
019-F5	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;			MUT;		MUT;		MUT;	MUT;		MUT;		MUT;		MUT;	MUT;		MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;	MUT;	MUT;							MUT;		MUT;	MUT;
KS26_F0	MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;				MUT;		MUT;	MUT;		MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;	MUT;			MUT;	MUT;	MUT;	MUT;		MUT;			
030-F0	MUT;	MUT;	MUT;		MUT;				MUT;																								MUT;																	
004-F0	MUT;	MUT;	MUT;	MUT;										MUT;							MUT;			MUT;																	MUT;					MUT;				
040-F0	MUT;		MUT;		MUT;																																													
001-F0	MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;			MUT;					MUT;	MUT;	MUT;			MUT;					MUT;														MUT;										
004-F5	MUT;	MUT;	MUT;	MUT;	MUT;			MUT;	MUT;	MUT;				MUT;					MUT;		MUT;			MUT;																	MUT;									
006-F0	MUT;	MUT;		MUT;	MUT;	MUT;	MUT;										MUT;		MUT;					MUT;									MUT;																	
029-F5	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;			MUT;						MUT;	MUT;											MUT;																					
029-F0	MUT;	MUT;			MUT;	MUT;	MUT;	MUT;			MUT;						MUT;	MUT;	MUT;																															
KS27_F0	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;							MUT;					MUT;				MUT;					MUT;				MUT;									MUT;				
008-F5		MUT;	MUT;	MUT;		MUT;		MUT;	MUT;		MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;		MUT;		MUT;	MUT;		MUT;		MUT;			MUT;				MUT;	MUT;	MUT;		MUT;					MUT;	MUT;	MUT;					
018-F5	MUT;	MUT;	MUT;		MUT;	MUT;		MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;	MUT;				MUT;		MUT;	MUT;		MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;	MUT;	MUT;			MUT;	MUT;			MUT;	MUT;	MUT;		MUT;		MUT;	MUT;
032-F0	MUT;	MUT;		MUT;	MUT;	MUT;	MUT;		MUT;					MUT;	MUT;																											MUT;								
032-F5	MUT;	MUT;		MUT;			MUT;	MUT;	MUT;					MUT;	MUT;														MUT;													MUT;								
KS25_primary	MUT;		MUT;	MUT;			MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;			MUT;		MUT;		MUT;	MUT;		MUT;	MUT;	MUT;			MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;						MUT;	MUT;		MUT;			
001-F5	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;				MUT;					MUT;	MUT;	MUT;			MUT;					MUT;														MUT;										
018-F0	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;	MUT;	MUT;		MUT;		MUT;		MUT;	MUT;		MUT;	MUT;	MUT;	MUT;	MUT;		MUT;	MUT;		MUT;	MUT;	MUT;		MUT;	MUT;	MUT;			MUT;	MUT;	MUT;				MUT;	MUT;
