sample_name	all_variant_count	filter_min_depth_count	filter_max_depth_count	filter_common_var_count	log_mut_count	COSMIC_count
001-F0_S3_L001_001	70284	29614	29613	9937	3.997255289820103	67
001-F0_S3_L002_001	68463	28690	28689	9507	3.978043493909963	55
001-F0_S3_L003_001	70585	29638	29637	9957	3.9981285071282664	72
001-F0_S3_L004_001	68144	28679	28678	9514	3.9783631470838827	68
001-F5_S2_L001_001	69586	29071	29070	9657	3.984842231405276	64
001-F5_S2_L002_001	67729	28173	28172	9184	3.963031875053898	59
001-F5_S2_L003_001	70191	29269	29268	9743	3.988692702549817	65
001-F5_S2_L004_001	67388	28084	28084	9192	3.9634100156802288	65
004-F0_S5_L001_001	49403	20839	20839	6385	3.805160901599434	49
004-F0_S5_L002_001	48789	20366	20366	6158	3.789439684567179	47
004-F0_S5_L003_001	49192	20629	20629	6323	3.8009231818132183	45
004-F0_S5_L004_001	49143	20689	20689	6310	3.8000293592441343	44
004-F5_S4_L001_001	49518	22214	22214	6642	3.8222988712623662	48
004-F5_S4_L002_001	49015	21955	21955	6547	3.816042340921997	54
004-F5_S4_L003_001	49470	22233	22233	6660	3.823474229170301	57
004-F5_S4_L004_001	49008	22080	22080	6641	3.822233480238844	49
004-primary_S1_L001_001	91150	37974	37974	14119	4.149803938227023	81
004-primary_S1_L002_001	90016	37916	37916	14123	4.14992695911359	69
004-primary_S1_L003_001	90921	38120	38120	14142	4.150510832907967	77
004-primary_S1_L004_001	90491	38138	38137	14190	4.151982395457474	78
005-F0_S3_L001_001	63932	28734	28732	9593	3.9819544444699737	68
005-F0_S3_L002_001	62944	28572	28570	9544	3.9797304306622854	73
005-F0_S3_L003_001	63912	28820	28818	9618	3.9830847727377883	67
005-F0_S3_L004_001	63183	28449	28447	9494	3.9774492273823414	70
005-F5_S2_L001_001	56747	25419	25418	8369	3.922673567858554	59
005-F5_S2_L002_001	56115	25125	25124	8226	3.9151887051731564	54
005-F5_S2_L003_001	56545	25398	25397	8374	3.922932956555212	60
005-F5_S2_L004_001	56332	25315	25315	8354	3.9218944709291024	57
005-primary_S6_L001_001	107199	38641	38639	14876	4.172486169686935	85
005-primary_S6_L002_001	104478	38418	38416	14804	4.170379076423075	88
