Sample	kmer_content	File type	Filename	per_base_gc_content	overrepresented_sequences	%GC	per_sequence_quality_scores	basic_statistics	per_base_sequence_content	sequence_length_distribution	avg_sequence_length	sequence_duplication_levels	Filtered Sequences	Total Sequences	per_base_sequence_quality	Sequence length	per_base_n_content	Encoding	per_sequence_gc_content
001-F0_S3_L001_R1_001	warn	Conventional base calls	001-F0_S3_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.437886502586785	warn	0.0	21645392.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F0_S3_L001_R2_001	warn	Conventional base calls	001-F0_S3_L001_R2_001_trimmed.fq.gz	pass	warn	45.0	pass	pass	pass	warn	48.39700919229268	warn	0.0	21591893.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F0_S3_L002_R1_001	warn	Conventional base calls	001-F0_S3_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.44060916024731	warn	0.0	20706013.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F0_S3_L002_R2_001	warn	Conventional base calls	001-F0_S3_L002_R2_001_trimmed.fq.gz	pass	warn	45.0	pass	pass	pass	warn	48.389578781153524	warn	0.0	20646702.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F0_S3_L003_R1_001	warn	Conventional base calls	001-F0_S3_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.42915175289352	warn	0.0	21838035.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F0_S3_L003_R2_001	warn	Conventional base calls	001-F0_S3_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.39756608878355	warn	0.0	21804986.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F0_S3_L004_R1_001	warn	Conventional base calls	001-F0_S3_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.4505581006193	warn	0.0	20553731.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F0_S3_L004_R2_001	warn	Conventional base calls	001-F0_S3_L004_R2_001_trimmed.fq.gz	pass	warn	45.0	pass	pass	pass	warn	48.40320480012122	warn	0.0	20511482.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F5_S2_L001_R1_001	warn	Conventional base calls	001-F5_S2_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.62799296914275	warn	0.0	19835988.0	pass	20-51	pass	Sanger / Illumina 1.9	warn
001-F5_S2_L001_R2_001	warn	Conventional base calls	001-F5_S2_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.583813918015466	warn	0.0	19783194.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F5_S2_L002_R1_001	warn	Conventional base calls	001-F5_S2_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.63281384409205	warn	0.0	18960290.0	pass	20-51	pass	Sanger / Illumina 1.9	warn
001-F5_S2_L002_R2_001	warn	Conventional base calls	001-F5_S2_L002_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.57842878739285	warn	0.0	18901274.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F5_S2_L003_R1_001	warn	Conventional base calls	001-F5_S2_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.6366384153433	warn	0.0	20041893.0	pass	20-51	pass	Sanger / Illumina 1.9	warn
001-F5_S2_L003_R2_001	warn	Conventional base calls	001-F5_S2_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.602057843770126	warn	0.0	20008516.0	pass	20-51	pass	Sanger / Illumina 1.9	warn
001-F5_S2_L004_R1_001	warn	Conventional base calls	001-F5_S2_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.648028307276455	warn	0.0	18764080.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
001-F5_S2_L004_R2_001	warn	Conventional base calls	001-F5_S2_L004_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.597869751552025	warn	0.0	18722511.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
004-F0_S5_L001_R1_001	warn	Conventional base calls	004-F0_S5_L001_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.08713297269983	warn	0.0	15459647.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F0_S5_L001_R2_001	warn	Conventional base calls	004-F0_S5_L001_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.041545256292814	warn	0.0	15409172.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F0_S5_L002_R1_001	warn	Conventional base calls	004-F0_S5_L002_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.101695305005336	warn	0.0	15263979.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F0_S5_L002_R2_001	warn	Conventional base calls	004-F0_S5_L002_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.048036398593396	warn	0.0	15208280.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F0_S5_L003_R1_001	warn	Conventional base calls	004-F0_S5_L003_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.10117011345132	warn	0.0	15522341.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F0_S5_L003_R2_001	warn	Conventional base calls	004-F0_S5_L003_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.05433891531442	warn	0.0	15491752.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F0_S5_L004_R1_001	warn	Conventional base calls	004-F0_S5_L004_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.11440910087274	warn	0.0	15410566.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F0_S5_L004_R2_001	warn	Conventional base calls	004-F0_S5_L004_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.05255115003196	warn	0.0	15370225.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
