Sample	kmer_content	File type	Filename	per_base_gc_content	overrepresented_sequences	%GC	per_sequence_quality_scores	basic_statistics	per_base_sequence_content	sequence_length_distribution	avg_sequence_length	sequence_duplication_levels	Filtered Sequences	Total Sequences	per_base_sequence_quality	Sequence length	per_base_n_content	Encoding	per_sequence_gc_content
004-F5_S4_L001_R1_001	warn	Conventional base calls	004-F5_S4_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.920090114061786	warn	0.0	15487483.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F5_S4_L001_R2_001	warn	Conventional base calls	004-F5_S4_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.87687370362394	warn	0.0	15439675.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F5_S4_L002_R1_001	warn	Conventional base calls	004-F5_S4_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.93007500235433	warn	0.0	15259121.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F5_S4_L002_R2_001	warn	Conventional base calls	004-F5_S4_L002_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.88053497012038	warn	0.0	15207354.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F5_S4_L003_R1_001	warn	Conventional base calls	004-F5_S4_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.92159073411521	warn	0.0	15547614.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F5_S4_L003_R2_001	warn	Conventional base calls	004-F5_S4_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.87812648064403	warn	0.0	15519007.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F5_S4_L004_R1_001	warn	Conventional base calls	004-F5_S4_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.93848271282154	warn	0.0	15407604.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-F5_S4_L004_R2_001	warn	Conventional base calls	004-F5_S4_L004_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.88016661003398	warn	0.0	15370983.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-primary_S1_L001_R1_001	warn	Conventional base calls	004-primary_S1_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.860124687896445	warn	0.0	27552153.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-primary_S1_L001_R2_001	warn	Conventional base calls	004-primary_S1_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.81700127816321	warn	0.0	27468323.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-primary_S1_L002_R1_001	warn	Conventional base calls	004-primary_S1_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.8731167169772	warn	0.0	27216966.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-primary_S1_L002_R2_001	warn	Conventional base calls	004-primary_S1_L002_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.82332362911278	warn	0.0	27122563.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-primary_S1_L003_R1_001	warn	Conventional base calls	004-primary_S1_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.86599720811326	warn	0.0	27664446.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
004-primary_S1_L003_R2_001	warn	Conventional base calls	004-primary_S1_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.823180321572366	warn	0.0	27613629.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-primary_S1_L004_R1_001	warn	Conventional base calls	004-primary_S1_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.88368256574475	warn	0.0	27470293.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
004-primary_S1_L004_R2_001	warn	Conventional base calls	004-primary_S1_L004_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.82480843100633	warn	0.0	27402660.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F0_S3_L001_R1_001	warn	Conventional base calls	005-F0_S3_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.82334907363207	warn	0.0	20900281.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F0_S3_L001_R2_001	warn	Conventional base calls	005-F0_S3_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.789320534334564	warn	0.0	20842672.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F0_S3_L002_R1_001	warn	Conventional base calls	005-F0_S3_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.83488765043622	warn	0.0	20600258.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F0_S3_L002_R2_001	warn	Conventional base calls	005-F0_S3_L002_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.795651907798664	warn	0.0	20537099.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F0_S3_L003_R1_001	warn	Conventional base calls	005-F0_S3_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.831024298626645	warn	0.0	21069627.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F0_S3_L003_R2_001	warn	Conventional base calls	005-F0_S3_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.797794360041316	warn	0.0	21037069.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F0_S3_L004_R1_001	warn	Conventional base calls	005-F0_S3_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.843686223302214	warn	0.0	20836372.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F0_S3_L004_R2_001	warn	Conventional base calls	005-F0_S3_L004_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.7972014240318	warn	0.0	20793075.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F5_S2_L001_R1_001	warn	Conventional base calls	005-F5_S2_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.17965623035956	warn	0.0	17896752.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F5_S2_L001_R2_001	warn	Conventional base calls	005-F5_S2_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.141695526372914	warn	0.0	17846682.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F5_S2_L002_R1_001	warn	Conventional base calls	005-F5_S2_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.18851631563874	warn	0.0	17696028.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F5_S2_L002_R2_001	warn	Conventional base calls	005-F5_S2_L002_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.14197850288456	warn	0.0	17639762.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F5_S2_L003_R1_001	warn	Conventional base calls	005-F5_S2_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.17879152871624	warn	0.0	18002844.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F5_S2_L003_R2_001	warn	Conventional base calls	005-F5_S2_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.13991037407707	warn	0.0	17974264.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F5_S2_L004_R1_001	warn	Conventional base calls	005-F5_S2_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.190817918266504	warn	0.0	17881261.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-F5_S2_L004_R2_001	warn	Conventional base calls	005-F5_S2_L004_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.13531959312858	warn	0.0	17841607.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-primary_S6_L001_R1_001	warn	Conventional base calls	005-primary_S6_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.811538655263675	warn	0.0	30356241.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-primary_S6_L001_R2_001	warn	Conventional base calls	005-primary_S6_L001_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	47.77087268315093	warn	0.0	30261682.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-primary_S6_L002_R1_001	warn	Conventional base calls	005-primary_S6_L002_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	47.822340154759736	warn	0.0	29938020.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
005-primary_S6_L002_R2_001	warn	Conventional base calls	005-primary_S6_L002_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	47.77431058504365	warn	0.0	29833774.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
005-primary_S6_L003_R1_001	warn	Conventional base calls	005-primary_S6_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.812333646088994	warn	0.0	30560598.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
005-primary_S6_L003_R2_001	warn	Conventional base calls	005-primary_S6_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.772282268026636	warn	0.0	30502640.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
005-primary_S6_L004_R1_001	warn	Conventional base calls	005-primary_S6_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	47.82605273795135	warn	0.0	30275958.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
005-primary_S6_L004_R2_001	warn	Conventional base calls	005-primary_S6_L004_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	47.76891958750243	warn	0.0	30201002.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
006-F0_S6_L001_R1_001	warn	Conventional base calls	006-F0_S6_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.91019760849736	warn	0.0	22929935.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F0_S6_L001_R2_001	warn	Conventional base calls	006-F0_S6_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.85425265109107	warn	0.0	22869452.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F0_S6_L002_R1_001	warn	Conventional base calls	006-F0_S6_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.915356998325386	warn	0.0	21930425.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F0_S6_L002_R2_001	warn	Conventional base calls	006-F0_S6_L002_R2_001_trimmed.fq.gz	pass	pass	46.0	pass	pass	pass	warn	48.84881008255069	warn	0.0	21864626.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F0_S6_L003_R1_001	warn	Conventional base calls	006-F0_S6_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.90086720114733	warn	0.0	23121510.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F0_S6_L003_R2_001	warn	Conventional base calls	006-F0_S6_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.85353979590449	warn	0.0	23083506.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F0_S6_L004_R1_001	warn	Conventional base calls	006-F0_S6_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.922682209908565	warn	0.0	21765172.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F0_S6_L004_R2_001	warn	Conventional base calls	006-F0_S6_L004_R2_001_trimmed.fq.gz	pass	warn	45.0	pass	pass	pass	warn	48.86059229120389	warn	0.0	21719215.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F5_S1_L001_R1_001	warn	Conventional base calls	006-F5_S1_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	49.43708819414737	warn	0.0	21445482.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F5_S1_L001_R2_001	warn	Conventional base calls	006-F5_S1_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	49.36875479471772	warn	0.0	21392031.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F5_S1_L002_R1_001	warn	Conventional base calls	006-F5_S1_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	49.44286079411803	warn	0.0	20552587.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F5_S1_L002_R2_001	warn	Conventional base calls	006-F5_S1_L002_R2_001_trimmed.fq.gz	pass	pass	46.0	pass	pass	pass	warn	49.36138070857523	warn	0.0	20492898.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F5_S1_L003_R1_001	warn	Conventional base calls	006-F5_S1_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	49.431380063334785	warn	0.0	21605820.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F5_S1_L003_R2_001	warn	Conventional base calls	006-F5_S1_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	49.371899450015874	warn	0.0	21573350.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F5_S1_L004_R1_001	warn	Conventional base calls	006-F5_S1_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	49.44735362127865	warn	0.0	20419942.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
006-F5_S1_L004_R2_001	warn	Conventional base calls	006-F5_S1_L004_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	49.36994491299388	warn	0.0	20378853.0	pass	20-51	pass	Sanger / Illumina 1.9	pass
008-F0_S1_L001_R1_001	warn	Conventional base calls	008-F0_S1_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.792374593364016	warn	0.0	23010445.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
008-F0_S1_L001_R2_001	warn	Conventional base calls	008-F0_S1_L001_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.7483895539601	warn	0.0	22947835.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
008-F0_S1_L002_R1_001	warn	Conventional base calls	008-F0_S1_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.79020601973686	warn	0.0	22716076.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
008-F0_S1_L002_R2_001	warn	Conventional base calls	008-F0_S1_L002_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.73284309589738	warn	0.0	22638554.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
008-F0_S1_L003_R1_001	warn	Conventional base calls	008-F0_S1_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.78346215508082	warn	0.0	22521689.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
008-F0_S1_L003_R2_001	warn	Conventional base calls	008-F0_S1_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.740519466399434	warn	0.0	22460471.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
008-F0_S1_L004_R1_001	warn	Conventional base calls	008-F0_S1_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.79325565359217	warn	0.0	23193263.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
008-F0_S1_L004_R2_001	warn	Conventional base calls	008-F0_S1_L004_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.73842160158991	warn	0.0	23122261.0	pass	20-50	pass	Sanger / Illumina 1.9	pass
008-F5_S2_L001_R1_001	warn	Conventional base calls	008-F5_S2_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.78875069684174	warn	0.0	12865188.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
008-F5_S2_L001_R2_001	warn	Conventional base calls	008-F5_S2_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.75042990368755	warn	0.0	12834270.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
008-F5_S2_L002_R1_001	warn	Conventional base calls	008-F5_S2_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.78847711490316	warn	0.0	12711504.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
008-F5_S2_L002_R2_001	warn	Conventional base calls	008-F5_S2_L002_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.73941463841868	warn	0.0	12673705.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
008-F5_S2_L003_R1_001	warn	Conventional base calls	008-F5_S2_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.783761616855735	warn	0.0	12631430.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
008-F5_S2_L003_R2_001	warn	Conventional base calls	008-F5_S2_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.748214767927564	warn	0.0	12601863.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
008-F5_S2_L004_R1_001	warn	Conventional base calls	008-F5_S2_L004_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.79180561790423	warn	0.0	12969178.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
008-F5_S2_L004_R2_001	warn	Conventional base calls	008-F5_S2_L004_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.7450396001652	warn	0.0	12934542.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F0_S3_L001_R1_001	warn	Conventional base calls	018-F0_S3_L001_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.74389728151143	warn	0.0	18637268.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F0_S3_L001_R2_001	warn	Conventional base calls	018-F0_S3_L001_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.7012402654739	warn	0.0	18592713.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F0_S3_L002_R1_001	warn	Conventional base calls	018-F0_S3_L002_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.74259087001124	warn	0.0	18398314.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F0_S3_L002_R2_001	warn	Conventional base calls	018-F0_S3_L002_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.68709390180516	warn	0.0	18344855.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F0_S3_L003_R1_001	warn	Conventional base calls	018-F0_S3_L003_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.73635612071112	warn	0.0	18266121.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F0_S3_L003_R2_001	warn	Conventional base calls	018-F0_S3_L003_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.69267263921873	warn	0.0	18224147.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F0_S3_L004_R1_001	warn	Conventional base calls	018-F0_S3_L004_R1_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.745109331107024	warn	0.0	18781480.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F0_S3_L004_R2_001	warn	Conventional base calls	018-F0_S3_L004_R2_001_trimmed.fq.gz	pass	pass	44.0	pass	pass	pass	warn	48.69322395579842	warn	0.0	18732183.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F5_S4_L001_R1_001	warn	Conventional base calls	018-F5_S4_L001_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.744505904706045	warn	0.0	16368300.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F5_S4_L001_R2_001	warn	Conventional base calls	018-F5_S4_L001_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.71089099066933	warn	0.0	16334088.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F5_S4_L002_R1_001	warn	Conventional base calls	018-F5_S4_L002_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.742763891212086	warn	0.0	16213272.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F5_S4_L002_R2_001	warn	Conventional base calls	018-F5_S4_L002_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.695318267810286	warn	0.0	16172732.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F5_S4_L003_R1_001	warn	Conventional base calls	018-F5_S4_L003_R1_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.73765595021444	warn	0.0	16100571.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
018-F5_S4_L003_R2_001	warn	Conventional base calls	018-F5_S4_L003_R2_001_trimmed.fq.gz	pass	pass	45.0	pass	pass	pass	warn	48.70480405459856	warn	0.0	16069655.0	pass	20-50	pass	Sanger / Illumina 1.9	warn
