Sample	FastQC_avg_sequence_length	FastQC_percent_fails	FastQC_total_sequences	FastQC_percent_gc
029-F5_S4_L004_R1_001	49.06129587172771	0.0	23880450.0	45.0
029-F5_S4_L004_R2_001	48.99653203911366	0.0	23826970.0	45.0
030-F0_S1_L001_R1_001	49.124627520158676	0.0	17563031.0	43.0
030-F0_S1_L001_R2_001	49.09677171378119	0.0	17535465.0	43.0
030-F0_S1_L002_R1_001	49.13657044102351	0.0	17047708.0	43.0
030-F0_S1_L002_R2_001	49.10102468428023	0.0	17015485.0	43.0
030-F0_S1_L003_R1_001	49.13077675557229	0.0	17532787.0	43.0
030-F0_S1_L003_R2_001	49.102125384635244	0.0	17506196.0	43.0
030-F0_S1_L004_R1_001	49.144501757614805	0.0	17307831.0	43.0
030-F0_S1_L004_R2_001	49.10399739705455	0.0	17272740.0	43.0
030-F5_S6_L001_R1_001	48.94639906197752	0.0	9899976.0	42.0
030-F5_S6_L001_R2_001	48.92095661148662	0.0	9882800.0	42.0
030-F5_S6_L002_R1_001	48.96342552296902	0.0	9601477.0	42.0
030-F5_S6_L002_R2_001	48.931074689062555	0.0	9582474.0	42.0
030-F5_S6_L003_R1_001	48.96404960155824	0.0	9896302.0	42.0
030-F5_S6_L003_R2_001	48.93931564434544	0.0	9879103.0	42.0
030-F5_S6_L004_R1_001	48.9750857700141	0.0	9749328.0	42.0
030-F5_S6_L004_R2_001	48.937429840367045	0.0	9727816.0	42.0
032-F0_S5_L001_R1_001	49.500260698693666	0.0	32123291.0	44.0
032-F0_S5_L001_R2_001	49.46383102227059	0.0	32081056.0	44.0
032-F0_S5_L002_R1_001	49.508161050519426	0.0	31138577.0	44.0
032-F0_S5_L002_R2_001	49.46496111350895	0.0	31088174.0	44.0
032-F0_S5_L003_R1_001	49.50501115888082	0.0	32116124.0	44.0
032-F0_S5_L003_R2_001	49.468779917447954	0.0	32075764.0	44.0
032-F0_S5_L004_R1_001	49.51524772784306	0.0	31620285.0	44.0
032-F0_S5_L004_R2_001	49.466919566878765	0.0	31565019.0	44.0
032-F5_S3_L001_R1_001	49.431130160353895	0.0	43826064.0	44.0
032-F5_S3_L001_R2_001	49.397397335970595	0.0	43770613.0	44.0
032-F5_S3_L002_R1_001	49.439620092175055	0.0	42606756.0	44.0
032-F5_S3_L002_R2_001	49.39732629082708	0.0	42539780.0	44.0
032-F5_S3_L003_R1_001	49.43781629233567	0.0	43855394.0	44.0
032-F5_S3_L003_R2_001	49.40323991877259	0.0	43802950.0	44.0
032-F5_S3_L004_R1_001	49.446864405821074	0.0	43230993.0	44.0
032-F5_S3_L004_R2_001	49.39901840066028	0.0	43155897.0	44.0
040-F0_S2_L001_R1_001	49.339823920411106	0.0	13441876.0	43.0
040-F0_S2_L001_R2_001	49.30921731485293	0.0	13421425.0	43.0
040-F0_S2_L002_R1_001	49.34660413914372	0.0	13011870.0	43.0
040-F0_S2_L002_R2_001	49.31093528871826	0.0	12989497.0	43.0
040-F0_S2_L003_R1_001	49.346269152301396	0.0	13462155.0	43.0
040-F0_S2_L003_R2_001	49.313455647141346	0.0	13442527.0	43.0
040-F0_S2_L004_R1_001	49.35446150559231	0.0	13217881.0	43.0
040-F0_S2_L004_R2_001	49.311455549746604	0.0	13192287.0	43.0
040-F5_S4_L001_R1_001	49.29435604400785	0.0	18667580.0	43.0
040-F5_S4_L001_R2_001	49.264348451248686	0.0	18641437.0	43.0
040-F5_S4_L002_R1_001	49.30210795575465	0.0	18113995.0	43.0
040-F5_S4_L002_R2_001	49.26348653720098	0.0	18082681.0	43.0
040-F5_S4_L003_R1_001	49.29903429228979	0.0	18663204.0	43.0
040-F5_S4_L003_R2_001	49.26826632611907	0.0	18638217.0	43.0
040-F5_S4_L004_R1_001	49.30855251619688	0.0	18388565.0	43.0
040-F5_S4_L004_R2_001	49.26501785439345	0.0	18354586.0	43.0
KS25_S6_L001_R1_001	48.25549494986574	0.0	14547039.0	45.0
KS25_S6_L001_R2_001	48.22790237219628	0.0	14531639.0	45.0
KS25_S6_L002_R1_001	48.27709533396401	0.0	14257584.0	45.0
KS25_S6_L002_R2_001	48.240599870311065	0.0	14237144.0	45.0
KS25_S6_L003_R1_001	48.26625201673022	0.0	14440454.0	45.0
KS25_S6_L003_R2_001	48.23534147658183	0.0	14420535.0	45.0
KS25_S6_L004_R1_001	48.285009129686486	0.0	14418896.0	45.0
KS25_S6_L004_R2_001	48.23676450626849	0.0	14388073.0	45.0
KS26_S5_L001_R1_001	48.720136126025835	0.0	20638816.0	45.0
KS26_S5_L001_R2_001	48.691141348324216	0.0	20621242.0	45.0
KS26_S5_L002_R1_001	48.7348762250961	0.0	20321365.0	45.0
KS26_S5_L002_R2_001	48.69915445167453	0.0	20297598.0	45.0
KS26_S5_L003_R1_001	48.72874676348533	0.0	20573443.0	45.0
KS26_S5_L003_R2_001	48.698029101698076	0.0	20548904.0	45.0
KS26_S5_L004_R1_001	48.74358186251673	0.0	20610886.0	45.0
KS26_S5_L004_R2_001	48.69534864368656	0.0	20573268.0	45.0
KS27_S1_L001_R1_001	48.71757144319648	0.0	19936433.0	44.0
KS27_S1_L001_R2_001	48.680321085637615	0.0	19912943.0	44.0
KS27_S1_L002_R1_001	48.72579374471068	0.0	19533453.0	44.0
KS27_S1_L002_R2_001	48.68013620692139	0.0	19503561.0	44.0
KS27_S1_L003_R1_001	48.72079047874956	0.0	19809919.0	44.0
KS27_S1_L003_R2_001	48.67956816183951	0.0	19780188.0	44.0
KS27_S1_L004_R1_001	48.73062593112581	0.0	19805997.0	44.0
KS27_S1_L004_R2_001	48.671106188448015	0.0	19762564.0	44.0
KS28_S3_L001_R1_001	48.77674052382361	0.0	23470305.0	44.0
KS28_S3_L001_R2_001	48.74245408608128	0.0	23447955.0	44.0
KS28_S3_L002_R1_001	48.7857237801065	0.0	23021108.0	44.0
KS28_S3_L002_R2_001	48.74098569420995	0.0	22990761.0	44.0
KS28_S3_L003_R1_001	48.78017984722668	0.0	23383402.0	44.0
KS28_S3_L003_R2_001	48.74249346800082	0.0	23352728.0	44.0
KS28_S3_L004_R1_001	48.78796191134816	0.0	23321277.0	44.0
KS28_S3_L004_R2_001	48.73134176706163	0.0	23275985.0	44.0
KS29_S2_L001_R1_001	48.74898013539075	0.0	19801648.0	45.0
KS29_S2_L001_R2_001	48.72003837228364	0.0	19783029.0	45.0
KS29_S2_L002_R1_001	48.758715150521496	0.0	19395735.0	45.0
KS29_S2_L002_R2_001	48.721688309858116	0.0	19371989.0	45.0
KS29_S2_L003_R1_001	48.754406142168285	0.0	19736483.0	45.0
KS29_S2_L003_R2_001	48.721266971447726	0.0	19711636.0	45.0
KS29_S2_L004_R1_001	48.76245395095058	0.0	19702904.0	45.0
KS29_S2_L004_R2_001	48.711906724140974	0.0	19665367.0	45.0
KS30_S4_L001_R1_001	48.686709978043055	0.0	25205233.0	44.0
KS30_S4_L001_R2_001	48.65513886953956	0.0	25180324.0	44.0
KS30_S4_L002_R1_001	48.69671144170754	0.0	24711163.0	44.0
KS30_S4_L002_R2_001	48.65503355677502	0.0	24677580.0	44.0
KS30_S4_L003_R1_001	48.690762547185486	0.0	25057492.0	44.0
KS30_S4_L003_R2_001	48.65658735286082	0.0	25024521.0	44.0
KS30_S4_L004_R1_001	48.69935671875167	0.0	25021404.0	44.0
KS30_S4_L004_R2_001	48.6454907342439	0.0	24970817.0	44.0
