Sample	FastQC_avg_sequence_length	FastQC_percent_fails	FastQC_total_sequences	FastQC_percent_gc
001-F0_S3_L001_R1_001	48.437886502586785	0.0	21645392.0	45.0
001-F0_S3_L001_R2_001	48.39700919229268	0.0	21591893.0	45.0
001-F0_S3_L002_R1_001	48.44060916024731	0.0	20706013.0	45.0
001-F0_S3_L002_R2_001	48.389578781153524	0.0	20646702.0	45.0
001-F0_S3_L003_R1_001	48.42915175289352	0.0	21838035.0	45.0
001-F0_S3_L003_R2_001	48.39756608878355	0.0	21804986.0	45.0
001-F0_S3_L004_R1_001	48.4505581006193	0.0	20553731.0	45.0
001-F0_S3_L004_R2_001	48.40320480012122	0.0	20511482.0	45.0
001-F5_S2_L001_R1_001	48.62799296914275	0.0	19835988.0	45.0
001-F5_S2_L001_R2_001	48.583813918015466	0.0	19783194.0	45.0
001-F5_S2_L002_R1_001	48.63281384409205	0.0	18960290.0	45.0
001-F5_S2_L002_R2_001	48.57842878739285	0.0	18901274.0	45.0
001-F5_S2_L003_R1_001	48.6366384153433	0.0	20041893.0	45.0
001-F5_S2_L003_R2_001	48.602057843770126	0.0	20008516.0	45.0
001-F5_S2_L004_R1_001	48.648028307276455	0.0	18764080.0	45.0
001-F5_S2_L004_R2_001	48.597869751552025	0.0	18722511.0	45.0
004-F0_S5_L001_R1_001	48.08713297269983	0.0	15459647.0	44.0
004-F0_S5_L001_R2_001	48.041545256292814	0.0	15409172.0	44.0
004-F0_S5_L002_R1_001	48.101695305005336	0.0	15263979.0	44.0
004-F0_S5_L002_R2_001	48.048036398593396	0.0	15208280.0	44.0
004-F0_S5_L003_R1_001	48.10117011345132	0.0	15522341.0	44.0
004-F0_S5_L003_R2_001	48.05433891531442	0.0	15491752.0	44.0
004-F0_S5_L004_R1_001	48.11440910087274	0.0	15410566.0	44.0
004-F0_S5_L004_R2_001	48.05255115003196	0.0	15370225.0	44.0
004-F5_S4_L001_R1_001	47.920090114061786	0.0	15487483.0	45.0
004-F5_S4_L001_R2_001	47.87687370362394	0.0	15439675.0	45.0
004-F5_S4_L002_R1_001	47.93007500235433	0.0	15259121.0	45.0
004-F5_S4_L002_R2_001	47.88053497012038	0.0	15207354.0	45.0
004-F5_S4_L003_R1_001	47.92159073411521	0.0	15547614.0	45.0
004-F5_S4_L003_R2_001	47.87812648064403	0.0	15519007.0	45.0
004-F5_S4_L004_R1_001	47.93848271282154	0.0	15407604.0	45.0
004-F5_S4_L004_R2_001	47.88016661003398	0.0	15370983.0	45.0
004-primary_S1_L001_R1_001	47.860124687896445	0.0	27552153.0	45.0
004-primary_S1_L001_R2_001	47.81700127816321	0.0	27468323.0	45.0
004-primary_S1_L002_R1_001	47.8731167169772	0.0	27216966.0	45.0
004-primary_S1_L002_R2_001	47.82332362911278	0.0	27122563.0	45.0
004-primary_S1_L003_R1_001	47.86599720811326	0.0	27664446.0	45.0
004-primary_S1_L003_R2_001	47.823180321572366	0.0	27613629.0	45.0
004-primary_S1_L004_R1_001	47.88368256574475	0.0	27470293.0	45.0
004-primary_S1_L004_R2_001	47.82480843100633	0.0	27402660.0	45.0
005-F0_S3_L001_R1_001	47.82334907363207	0.0	20900281.0	45.0
005-F0_S3_L001_R2_001	47.789320534334564	0.0	20842672.0	45.0
005-F0_S3_L002_R1_001	47.83488765043622	0.0	20600258.0	45.0
005-F0_S3_L002_R2_001	47.795651907798664	0.0	20537099.0	45.0
005-F0_S3_L003_R1_001	47.831024298626645	0.0	21069627.0	45.0
005-F0_S3_L003_R2_001	47.797794360041316	0.0	21037069.0	45.0
005-F0_S3_L004_R1_001	47.843686223302214	0.0	20836372.0	45.0
005-F0_S3_L004_R2_001	47.7972014240318	0.0	20793075.0	45.0
005-F5_S2_L001_R1_001	48.17965623035956	0.0	17896752.0	45.0
005-F5_S2_L001_R2_001	48.141695526372914	0.0	17846682.0	45.0
005-F5_S2_L002_R1_001	48.18851631563874	0.0	17696028.0	45.0
005-F5_S2_L002_R2_001	48.14197850288456	0.0	17639762.0	45.0
005-F5_S2_L003_R1_001	48.17879152871624	0.0	18002844.0	45.0
005-F5_S2_L003_R2_001	48.13991037407707	0.0	17974264.0	45.0
005-F5_S2_L004_R1_001	48.190817918266504	0.0	17881261.0	45.0
005-F5_S2_L004_R2_001	48.13531959312858	0.0	17841607.0	45.0
005-primary_S6_L001_R1_001	47.811538655263675	0.0	30356241.0	45.0
005-primary_S6_L001_R2_001	47.77087268315093	0.0	30261682.0	44.0
005-primary_S6_L002_R1_001	47.822340154759736	0.0	29938020.0	44.0
005-primary_S6_L002_R2_001	47.77431058504365	0.0	29833774.0	44.0
005-primary_S6_L003_R1_001	47.812333646088994	0.0	30560598.0	45.0
005-primary_S6_L003_R2_001	47.772282268026636	0.0	30502640.0	45.0
005-primary_S6_L004_R1_001	47.82605273795135	0.0	30275958.0	45.0
005-primary_S6_L004_R2_001	47.76891958750243	0.0	30201002.0	44.0
006-F0_S6_L001_R1_001	48.91019760849736	0.0	22929935.0	45.0
006-F0_S6_L001_R2_001	48.85425265109107	0.0	22869452.0	45.0
006-F0_S6_L002_R1_001	48.915356998325386	0.0	21930425.0	45.0
006-F0_S6_L002_R2_001	48.84881008255069	0.0	21864626.0	46.0
006-F0_S6_L003_R1_001	48.90086720114733	0.0	23121510.0	45.0
006-F0_S6_L003_R2_001	48.85353979590449	0.0	23083506.0	45.0
006-F0_S6_L004_R1_001	48.922682209908565	0.0	21765172.0	45.0
006-F0_S6_L004_R2_001	48.86059229120389	0.0	21719215.0	45.0
006-F5_S1_L001_R1_001	49.43708819414737	0.0	21445482.0	45.0
006-F5_S1_L001_R2_001	49.36875479471772	0.0	21392031.0	45.0
006-F5_S1_L002_R1_001	49.44286079411803	0.0	20552587.0	45.0
006-F5_S1_L002_R2_001	49.36138070857523	0.0	20492898.0	46.0
006-F5_S1_L003_R1_001	49.431380063334785	0.0	21605820.0	45.0
006-F5_S1_L003_R2_001	49.371899450015874	0.0	21573350.0	45.0
006-F5_S1_L004_R1_001	49.44735362127865	0.0	20419942.0	45.0
006-F5_S1_L004_R2_001	49.36994491299388	0.0	20378853.0	45.0
008-F0_S1_L001_R1_001	48.792374593364016	0.0	23010445.0	45.0
008-F0_S1_L001_R2_001	48.7483895539601	0.0	22947835.0	44.0
008-F0_S1_L002_R1_001	48.79020601973686	0.0	22716076.0	45.0
008-F0_S1_L002_R2_001	48.73284309589738	0.0	22638554.0	45.0
008-F0_S1_L003_R1_001	48.78346215508082	0.0	22521689.0	45.0
008-F0_S1_L003_R2_001	48.740519466399434	0.0	22460471.0	45.0
008-F0_S1_L004_R1_001	48.79325565359217	0.0	23193263.0	45.0
008-F0_S1_L004_R2_001	48.73842160158991	0.0	23122261.0	45.0
008-F5_S2_L001_R1_001	48.78875069684174	0.0	12865188.0	45.0
008-F5_S2_L001_R2_001	48.75042990368755	0.0	12834270.0	45.0
008-F5_S2_L002_R1_001	48.78847711490316	0.0	12711504.0	45.0
008-F5_S2_L002_R2_001	48.73941463841868	0.0	12673705.0	45.0
008-F5_S2_L003_R1_001	48.783761616855735	0.0	12631430.0	45.0
008-F5_S2_L003_R2_001	48.748214767927564	0.0	12601863.0	45.0
008-F5_S2_L004_R1_001	48.79180561790423	0.0	12969178.0	45.0
008-F5_S2_L004_R2_001	48.7450396001652	0.0	12934542.0	45.0
018-F0_S3_L001_R1_001	48.74389728151143	0.0	18637268.0	44.0
018-F0_S3_L001_R2_001	48.7012402654739	0.0	18592713.0	44.0
018-F0_S3_L002_R1_001	48.74259087001124	0.0	18398314.0	44.0
018-F0_S3_L002_R2_001	48.68709390180516	0.0	18344855.0	44.0
018-F0_S3_L003_R1_001	48.73635612071112	0.0	18266121.0	44.0
018-F0_S3_L003_R2_001	48.69267263921873	0.0	18224147.0	44.0
018-F0_S3_L004_R1_001	48.745109331107024	0.0	18781480.0	44.0
018-F0_S3_L004_R2_001	48.69322395579842	0.0	18732183.0	44.0
018-F5_S4_L001_R1_001	48.744505904706045	0.0	16368300.0	45.0
018-F5_S4_L001_R2_001	48.71089099066933	0.0	16334088.0	45.0
018-F5_S4_L002_R1_001	48.742763891212086	0.0	16213272.0	45.0
018-F5_S4_L002_R2_001	48.695318267810286	0.0	16172732.0	45.0
018-F5_S4_L003_R1_001	48.73765595021444	0.0	16100571.0	45.0
018-F5_S4_L003_R2_001	48.70480405459856	0.0	16069655.0	45.0
018-F5_S4_L004_R1_001	48.74501554527724	0.0	16536212.0	45.0
018-F5_S4_L004_R2_001	48.70078264313153	0.0	16499474.0	45.0
019-F0_S5_L001_R1_001	48.549883031558046	0.0	14274363.0	45.0
019-F0_S5_L001_R2_001	48.518629316098874	0.0	14241854.0	45.0
019-F0_S5_L002_R1_001	48.54729424532384	0.0	14098100.0	45.0
019-F0_S5_L002_R2_001	48.505986442537406	0.0	14059268.0	45.0
019-F0_S5_L003_R1_001	48.54270672129525	0.0	14041490.0	45.0
019-F0_S5_L003_R2_001	48.51263368772124	0.0	14010636.0	45.0
019-F0_S5_L004_R1_001	48.54904793298218	0.0	14390321.0	45.0
019-F0_S5_L004_R2_001	48.5108417341982	0.0	14355268.0	45.0
019-F5_S6_L001_R1_001	48.59064126026221	0.0	21251387.0	44.0
019-F5_S6_L001_R2_001	48.55456178724286	0.0	21193404.0	44.0
019-F5_S6_L002_R1_001	48.589670223142086	0.0	21012845.0	44.0
019-F5_S6_L002_R2_001	48.540760222882895	0.0	20943016.0	44.0
019-F5_S6_L003_R1_001	48.5816940956382	0.0	20862187.0	44.0
019-F5_S6_L003_R2_001	48.547510284177235	0.0	20805748.0	44.0
019-F5_S6_L004_R1_001	48.59076135173377	0.0	21430581.0	44.0
019-F5_S6_L004_R2_001	48.54581746720775	0.0	21365487.0	44.0
029-F0_S5_L001_R1_001	48.8910339672962	0.0	21072475.0	45.0
029-F0_S5_L001_R2_001	48.84092939687222	0.0	21020471.0	45.0
029-F0_S5_L002_R1_001	48.895232059335626	0.0	20139806.0	45.0
029-F0_S5_L002_R2_001	48.83661578155343	0.0	20083739.0	45.0
029-F0_S5_L003_R1_001	48.883614023056275	0.0	21283406.0	45.0
029-F0_S5_L003_R2_001	48.842423858280654	0.0	21251523.0	45.0
029-F0_S5_L004_R1_001	48.90381240012162	0.0	19956772.0	45.0
029-F0_S5_L004_R2_001	48.84865933189176	0.0	19918539.0	45.0
029-F5_S4_L001_R1_001	49.04741740457383	0.0	25111560.0	45.0
029-F5_S4_L001_R2_001	48.99133107924703	0.0	25044294.0	45.0
029-F5_S4_L002_R1_001	49.05324673003257	0.0	24056050.0	45.0
029-F5_S4_L002_R2_001	48.984283259270974	0.0	23981817.0	45.0
029-F5_S4_L003_R1_001	49.03926593135344	0.0	25336595.0	45.0
029-F5_S4_L003_R2_001	48.99228586550317	0.0	25295644.0	45.0
